服务器输出文件名	config_security_init.xml	根名称	ability									
客户端输出文件名	config_security_init.xml	项名称	security_init									
格子索引	uint8普通奖励项数量	uint16普通奖励1类型	int32普通奖励1值	物品1权重	uint16普通奖励2类型	int32普通奖励2值	物品2权重	uint16普通奖励3类型	int32普通奖励3值	物品3权重		
3	3	3	1	3	3	1	3	3	1	3		
index	count_reward	reward_type_0	reward_value_0	reward_rate_0	reward_type_1	reward_value_1	reward_rate_1	reward_type_2	reward_value_2	reward_rate_2		
101	0	0	0	0	0	0	0	0	0	0		
201	3	2	5000	2	220010001	1	1	331080001	1	3		
301	0	0	0	0	0	0	0	0	0	0		
401	3	11	50	1	220020001	1	2	0	0	3		
501	3	12	500	2	220030001	1	1	331090001	1	3		
601	3	13	500	2	220610001	1	1	0	0	3		
701	0	0	0	0	0	0	0	0	0	0		
801	3	14	500	2	331000001	1	1	0	0	3		
901	3	16	5	2	331010001	1	1	331100001	1	3		
1001	3	17	2	2	331020001	1	1	0	0	3		
1101	0	0	0	0	0	0	0	0	0	0		
1201	3	2	5000	2	331030001	0	1	0	0	3		
1301	3	2	5000	3	331040001	1	1	331110001	1	2		
1401	3	11	50	1	331050001	1	2	0	0	3		
1501	3	18	100	1	331060001	1	2	0	0	3		
1601	3	12	500	2	331070001	1	1	331120001	1	3		
10101	0	0	0	0	0	0	0	0	0	0		
10201	3	2	5000	2	220010001	1	1	331080001	1	3		
10301	0	0	0	0	0	0	0	0	0	0		
10401	3	11	50	1	220020001	1	2	0	0	3		
10501	3	12	500	2	220030001	1	1	331090001	1	3		
10601	3	13	500	2	220610001	1	1	0	0	3		
10701	0	0	0	0	0	0	0	0	0	0		
10801	3	14	500	2	331000001	1	1	0	0	3		
10901	3	16	5	2	331010001	1	1	331100001	1	3		
11001	3	17	2	2	331020001	1	1	0	0	3		
11101	0	0	0	0	0	0	0	0	0	0		
11201	3	2	5000	2	331030001	0	1	0	0	3		
11301	3	2	5000	3	331040001	1	1	331110001	1	2		
11401	3	11	50	1	331050001	1	2	0	0	3		
11501	3	18	100	1	331060001	1	2	0	0	3		
11601	3	12	500	2	331070001	1	1	331120001	1	3		
20101	0	0	0	0	0	0	0	0	0	0		
20201	3	2	5000	2	220010001	1	1	331080001	1	3		
20301	0	0	0	0	0	0	0	0	0	0		
20401	3	11	50	1	220020001	1	2	0	0	3		
20501	3	12	500	2	220030001	1	1	331090001	1	3		
20601	3	13	500	2	220610001	1	1	0	0	3		
20701	0	0	0	0	0	0	0	0	0	0		
20801	3	14	500	2	331000001	1	1	0	0	3		
20901	3	16	5	2	331010001	1	1	331100001	1	3		
21001	3	17	2	2	331020001	1	1	0	0	3		
21101	0	0	0	0	0	0	0	0	0	0		
21201	3	2	5000	2	331030001	0	1	0	0	3		
21301	3	2	5000	3	331040001	1	1	331110001	1	2		
21401	3	11	50	1	331050001	1	2	0	0	3		
21501	3	18	100	1	331060001	1	2	0	0	3		
21601	3	12	500	2	331070001	1	1	331120001	1	3		
30101	0	0	0	0	0	0	0	0	0	0		
30201	3	2	5000	2	220010001	1	1	331080001	1	3		
30301	0	0	0	0	0	0	0	0	0	0		
30401	3	11	50	1	220020001	1	2	0	0	3		
30501	3	12	500	2	220030001	1	1	331090001	1	3		
30601	3	13	500	2	220610001	1	1	0	0	3		
30701	0	0	0	0	0	0	0	0	0	0		
30801	3	14	500	2	331000001	1	1	0	0	3		
30901	3	16	5	2	331010001	1	1	331100001	1	3		
31001	3	17	2	2	331020001	1	1	0	0	3		
31101	0	0	0	0	0	0	0	0	0	0		
31201	3	2	5000	2	331030001	0	1	0	0	3		
31301	3	2	5000	3	331040001	1	1	331110001	1	2		
31401	3	11	50	1	331050001	1	2	0	0	3		
31501	3	18	100	1	331060001	1	2	0	0	3		
31601	3	12	500	2	331070001	1	1	331120001	1	3		
40101	0	0	0	0	0	0	0	0	0	0		
40201	3	2	5000	2	220010001	1	1	331080001	1	3		
40301	0	0	0	0	0	0	0	0	0	0		
40401	3	11	50	1	220020001	1	2	0	0	3		
40501	3	12	500	2	220030001	1	1	331090001	1	3		
40601	3	13	500	2	220610001	1	1	0	0	3		
40701	0	0	0	0	0	0	0	0	0	0		
40801	3	14	500	2	331000001	1	1	0	0	3		
40901	3	16	5	2	331010001	1	1	331100001	1	3		
41001	3	17	2	2	331020001	1	1	0	0	3		
41101	0	0	0	0	0	0	0	0	0	0		
41201	3	2	5000	2	331030001	0	1	0	0	3		
41301	3	2	5000	3	331040001	1	1	331110001	1	2		
41401	3	11	50	1	331050001	1	2	0	0	3		
41501	3	18	100	1	331060001	1	2	0	0	3		
41601	3	12	500	2	331070001	1	1	331120001	1	3		
