服务器输出文件名	config_security_lattice.xml	根名称	ability							
客户端输出文件名	config_security_lattice.xml	项名称	security_lattice							
索引ID	格子ID	格子等级	人物等级索引	格子权重	下一个格子ID	奖励系数double				
3	3	3	3	3	3	3				
index	lattice	level	level_idx	rate	next_lattice	reward_mutiple				
101	1	1	0	9	201	0		等级		段
201	2	1	0	8	301	125		1-39		0
301	3	1	0	7	401	0		40-89		1
401	4	1	0	6	501	125		90-129		2
501	5	1	0	5	601	125		130-169		3
601	6	1	0	5	701	125		170-209		4
701	7	1	0	4	801	0				
801	8	1	0	4	901	125		"1,3,7,11空"		
901	9	1	0	4	1001	125				
1001	10	1	0	3	1101	125				
1101	11	1	0	3	1201	0				
1201	12	1	0	3	1301	125				
1301	13	1	0	2	1401	125				
1401	14	1	0	2	1501	125				
1501	15	1	0	1	1601	125				
1601	16	1	0	1	101	125				
10101	1	1	1	9	10201	0				
10201	2	1	1	8	10301	125				
10301	3	1	1	7	10401	0				
10401	4	1	1	6	10501	125				
10501	5	1	1	5	10601	125				
10601	6	1	1	5	10701	125				
10701	7	1	1	4	10801	0				
10801	8	1	1	4	10901	125				
10901	9	1	1	4	11001	125				
11001	10	1	1	3	11101	125				
11101	11	1	1	3	11201	0				
11201	12	1	1	3	11301	125				
11301	13	1	1	2	11401	125				
11401	14	1	1	2	11501	125				
11501	15	1	1	1	11601	125				
11601	16	1	1	1	10101	125				
20101	1	1	2	9	20201	0				
20201	2	1	2	8	20301	125				
20301	3	1	2	7	20401	0				
20401	4	1	2	6	20501	125				
20501	5	1	2	5	20601	125				
20601	6	1	2	5	20701	125				
20701	7	1	2	4	20801	0				
20801	8	1	2	4	20901	125				
20901	9	1	2	4	21001	125				
21001	10	1	2	3	21101	125				
21101	11	1	2	3	21201	0				
21201	12	1	2	3	21301	125				
21301	13	1	2	2	21401	125				
21401	14	1	2	2	21501	125				
21501	15	1	2	1	21601	125				
21601	16	1	2	1	20101	125				
30101	1	1	3	9	30201	0				
30201	2	1	3	8	30301	125				
30301	3	1	3	7	30401	0				
30401	4	1	3	6	30501	125				
30501	5	1	3	5	30601	125				
30601	6	1	3	5	30701	125				
30701	7	1	3	4	30801	0				
30801	8	1	3	4	30901	125				
30901	9	1	3	4	31001	125				
31001	10	1	3	3	31101	125				
31101	11	1	3	3	31201	0				
31201	12	1	3	3	31301	125				
31301	13	1	3	2	31401	125				
31401	14	1	3	2	31501	125				
31501	15	1	3	1	31601	125				
31601	16	1	3	1	30101	125				
40101	1	1	4	9	40201	0				
40201	2	1	4	8	40301	125				
40301	3	1	4	7	40401	0				
40401	4	1	4	6	40501	125				
40501	5	1	4	5	40601	125				
40601	6	1	4	5	40701	125				
40701	7	1	4	4	40801	0				
40801	8	1	4	4	40901	125				
40901	9	1	4	4	41001	125				
41001	10	1	4	3	41101	125				
41101	11	1	4	3	41201	0				
41201	12	1	4	3	41301	125				
41301	13	1	4	2	41401	125				
41401	14	1	4	2	41501	125				
41501	15	1	4	1	41601	125				
41601	16	1	4	1	40101	125				
