服务器输出文件名	config_buff_effect.xml	根名称	ability	0	0	0	0		0		0	0																																												
客户端输出文件名	config_buff_effect.xml	项名称	root																																																					
buff ID	buff名称	中断or不中断	是否瞬时	是否可逆	是否可叠加	是否下线保存	持续时间(单位:秒)	 有效人数	效果1	优先级	出现概率	作用对象类型	作用范围	距离（单位：米）	角度	参数值	时间点	效果2	优先级	出现概率	作用对象类型	作用范围	距离（单位：米）	角度	参数值	时间点	效果3	优先级	出现概率	作用对象类型	作用范围	距离（单位：米）	角度	参数值	时间点	效果4	优先级	出现概率	作用对象类型	作用范围	距离（单位：米）	角度	参数值	时间点	效果5	优先级	出现概率	作用对象类型	作用范围	距离（单位：米）	角度	参数值	时间点			
3	1	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3			
buff ID	buff_name	buff_type	instantaneous_b	reversible	buff_add	keep_away	abidance_time	area_num	buff_effect_1	buff_pri_1	appear_probability_1	aim_1	function_area_1	area_w_1	area_L_1	effect_value_1	timestamp_1	buff_effect_2	buff_pri_2	appear_probability_2	aim_2	function_area_2	area_w_2	area_L_2	effect_value_2	timestamp_2	buff_effect_3	buff_pri_3	appear_probability_3	aim_3	function_area_3	area_w_3	area_L_3	effect_value_3	timestamp_3	buff_effect_4	buff_pri_4	appear_probability_4	aim_4	function_area_4	area_w_4	area_L_4	effect_value_4	timestamp_4	buff_effect_5	buff_pri_5	appear_probability_5	aim_5	function_area_5	area_w_5	area_L_5	effect_value_5	timestamp_5			
1	shaolin_skill01_lv1	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	10000	0	34	0	0	4	1	160000	0.525	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
2	shaolin_skill01_lv2	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	10200	0	34	0	0	4	1	160000	0.525	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
3	shaolin_skill01_lv3	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	10400	0	34	0	0	4	1	160000	0.525	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
4	shaolin_skill01_lv4	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	10600	0	34	0	0	4	1	160000	0.525	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
5	shaolin_skill01_lv5	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	10800	0	34	0	0	4	1	160000	0.525	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
6	shaolin_skill01_lv6	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	11000	0	34	0	0	4	1	160000	0.525	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
7	shaolin_skill01_lv7	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	11200	0	34	0	0	4	1	160000	0.525	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
8	shaolin_skill01_lv8	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	11400	0	34	0	0	4	1	160000	0.525	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
