服务器输出文件名	config_character_level_base.xml	根名称	ability														
客户端输出文件名	config_character_level_base.xml	项名称	character_level_base														
ID	职业	等级	升到下级经验	生命上限	生命回复	怒气上限	怒气回复	普攻	普防	技攻	技防	暴击率:百份比	暴击伤害:百分比	格挡率:百份比	格挡值	闪避:百份比	命中:百份比
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
idx	char_type	level	next_level_need_exp	hp_max	hp_recover	anger_max	anger_recover	attack	defend	inattack	indefend	crit_rate	crit_val	block_rate	block_val	dodge	hit
10001	1	1	260	524	0	100	10	596	96	226	7	50	200	30	10	50	100
10002	1	2	343	632	0	100	10	726	116	262	84	50	200	30	10	50	100
10003	1	3	432	740	0	100	10	856	136	298	98	50	200	30	10	50	100
10004	1	4	532	848	0	100	10	986	156	334	112	50	200	30	10	50	100
10005	1	5	650	956	0	100	10	1116	176	37	126	50	200	30	10	50	100
10006	1	6	832	1064	0	100	10	1246	196	406	14	50	200	30	10	50	100
10007	1	7	910	1172	0	100	10	1376	216	442	154	50	200	30	10	50	100
10008	1	8	1045	1280	0	100	10	1506	236	478	168	50	200	30	10	50	100
10009	1	9	1262	1388	0	100	10	1636	256	514	182	50	200	30	10	50	100
10010	1	10	2185	1496	0	100	10	1766	276	55	196	50	200	30	10	50	100
20001	2	1	260	412	0	100	10	347	4	673	126	50	200	30	10	50	100
20002	2	2	343	492	0	100	10	412	46	824	154	50	200	30	10	50	100
20003	2	3	432	572	0	100	10	477	52	975	182	50	200	30	10	50	100
20004	2	4	532	652	0	100	10	542	58	1126	21	50	200	30	10	50	100
20005	2	5	650	732	0	100	10	607	64	1277	238	50	200	30	10	50	100
20006	2	6	832	812	0	100	10	672	7	1428	266	50	200	30	10	50	100
20007	2	7	910	892	0	100	10	737	76	1579	294	50	200	30	10	50	100
20008	2	8	1045	972	0	100	10	802	82	173	322	50	200	30	10	50	100
20009	2	9	1262	1052	0	100	10	867	88	1881	35	50	200	30	10	50	100
20010	2	10	2185	1132	0	100	10	932	94	2032	378	50	200	30	10	50	100
30001	3	1	260	584	0	100	10	476	126	286	4	50	200	30	10	50	100
30002	3	2	343	708	0	100	10	574	154	338	46	50	200	30	10	50	100
30003	3	3	432	832	0	100	10	672	182	39	52	50	200	30	10	50	100
30004	3	4	532	956	0	100	10	77	21	442	58	50	200	30	10	50	100
30005	3	5	650	1080	0	100	10	868	238	494	64	50	200	30	10	50	100
30006	3	6	832	1204	0	100	10	966	266	546	7	50	200	30	10	50	100
30007	3	7	910	1328	0	100	10	1064	294	598	76	50	200	30	10	50	100
30008	3	8	1045	1452	0	100	10	1162	322	65	82	50	200	30	10	50	100
30009	3	9	1262	1576	0	100	10	126	35	702	88	50	200	30	10	50	100
30010	3	10	2185	1700	0	100	10	1358	378	754	94	50	200	30	10	50	100
40001	4	1	260	438	0	100	10	295	53	699	113	50	200	30	10	50	100
40002	4	2	343	524	0	100	10	348	62	856	138	50	200	30	10	50	100
40003	4	3	432	610	0	100	10	401	71	1013	163	50	200	30	10	50	100
40004	4	4	532	696	0	100	10	454	8	117	188	50	200	30	10	50	100
40005	4	5	650	782	0	100	10	507	89	1327	213	50	200	30	10	50	100
40006	4	6	832	868	0	100	10	56	98	1484	238	50	200	30	10	50	100
40007	4	7	910	954	0	100	10	613	107	1641	263	50	200	30	10	50	100
40008	4	8	1045	1040	0	100	10	666	116	1798	288	50	200	30	10	50	100
40009	4	9	1262	1126	0	100	10	719	125	1955	313	50	200	30	10	50	100
40010	4	10	2185	1212	0	100	10	772	134	2112	338	50	200	30	10	50	100
