服务器输出文件名	config_copy_base.xml	根名称	root													
客户端输出文件名	config_copy_base.xml	项名称	item													
副本id	名称 	uint32消耗体力	uint8最多允许进入人数	uint8每天挑战次数	uint32单人战斗场景id	uint32组队战斗场景id	uint8普通奖励项数量	uint16普通奖励1类型	int32普通奖励1值	uint16普通奖励2类型	int32普通奖励2值	uint16普通奖励3类型	int32普通奖励3值	uint16普通奖励4类型	int32普通奖励4值	副本显示奖励
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1
copy_idx	copy_name	cost_force	max_player	max_do_times	single_scene_id	team_scene_id	count_reward	reward_char_mod_type_0	reward_char_mod_value_0	reward_char_mod_type_1	reward_char_mod_value_1	reward_char_mod_type_2	reward_char_mod_value_2	reward_char_mod_type_3	reward_char_mod_value_3	award_item
1	无量山	6	3	2	61011	61013	2	2	2000	12	1000	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
2	小镜湖	6	3	2	61021	61023	2	2	2000	12	1200	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
3	燕子坞	6	3	2	61031	61033	2	2	2000	12	1400	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
4	灵鹫宫	6	3	2	61041	61043	2	2	2000	12	1600	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
5	雁门关	6	3	2	61051	61053	2	2	2000	12	1800	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
6	蒙古大漠	6	3	2	61061	61063	2	2	2000	12	2000	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
7	襄阳城	12	3	2	61071	61073	2	2	2000	12	2200	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
8	桃花岛	12	3	2	61081	61083	2	2	2000	12	2400	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
9	神龙岛	12	3	2	61091	61093	2	2	2000	12	2600	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
10	华山	12	3	2	61101	61103	2	2	2000	12	2800	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
11	终南山	12	3	2	61111	61113	2	2	2000	12	3000	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
12	绝情谷	12	3	2	61121	61123	2	2	2000	12	3200	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
13	冰火岛	24	3	2	61131	61133	2	2	2000	12	3400	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
14	万安寺	24	3	2	61141	61143	2	2	2000	12	3600	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
15	嵩山少林寺	24	3	2	61151	61153	2	2	2000	12	3800	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
16	武当山	24	3	2	61161	61163	2	2	2000	12	4000	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
17	福州绿竹林	24	3	2	61171	61173	2	2	2000	12	4200	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
18	黑木崖	24	3	2	61181	61183	2	2	2000	12	4400	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
19	光明顶	36	3	2	61191	61193	2	2	2000	12	4600	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
20	皇宫	36	3	2	61201	61203	2	2	2000	12	4800	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
21	嘉兴	36	3	2	61211	61213	2	2	2000	12	5000	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
22	琅寰福地	36	3	2	61221	61223	2	2	2000	12	5200	0	0	0	0	"100110101,101110101,102110101,103110101,104110101,105110101,106110101,107110101,108110101,109110101"
