服务器输出文件名	config_equip_base.xml	根名称	ability																																								
客户端输出文件名	config_equip_base.xml	项名称	equip_base																																								
装备类型id	名称	描述	主类型	要求等级	出售货币类型	出售货币数量	排序权重(大的排前面)	有效时间	标记	分组大小	职业要求	部位	资质	品质	阶	主属性类型	数值	武力	身手	内力	生命上限	生命回复	怒气上限	怒气回复	武攻	武防	内力	内防	暴击率:百份比	暴击伤害:百份比	格挡率:百份比	格挡值:百份比	闪避:百份比	命中:百份比	伤害减免:百份比	CD减免:百份比	近战减免:百份比	远程减免:百份比	击中生命回复	击杀怒气回复	装备图标名称	模型形象	模型发型
3	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1
equip_idx	name	des	main_type	need_level	sell_money_type	sell_money_val	sort	shelf_life	item_flags	max_stack_amount	job_flag	equip_target_slot	texture	quality	stage	first_type	first_val	wuli	shenshou	neili	hp_max	hp_recover	anger_max	anger_recover	attack	defend	inattack	indefend	crit_rate	crit_val	block_rate	block_val	dodge	hit	skip_damage	skip_cd	skip_short_damage	skip_long_damage	hit_recover_hp	kill_recover_anger	item_icon	modleName	hair_model_name
100110101	铁剑	没什么特别的一把铁剑	1	10	12	10	9	0	3	1	4	0	1	1	1	107	34.125	0	0	0	0	0	0	0	34.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4001	0
100110201	软剑	材料好像很特殊，可以弯曲	1	20	12	10	9	0	3	1	4	0	1	1	2	107	68.25	0	0	0	0	0	0	0	68.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4002	0
100110301	淑女剑	就像淑女的身材一样细	1	40	12	10	9	0	3	1	4	0	1	1	3	107	136.5	0	0	0	0	0	0	0	136.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	4003	0
100110401	鱼肠剑	专诸置匕首于鱼腹中，以刺杀吴王僚	1	60	12	10	9	0	3	1	4	0	1	1	4	107	204.75	0	0	0	0	0	0	0	204.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4004	0
100110501	凝碧剑	亮丽宝剑，杀人于亮光之间	1	80	12	10	9	0	3	1	4	0	1	1	5	107	273	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	4005	0
100110601	玉女剑	双剑合壁，威力奇大，玉女剑为其一	1	100	12	10	9	0	3	1	4	0	1	1	6	107	341.25	0	0	0	0	0	0	0	341.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4005	0
100110701	玄铁剑	持之亦几无敌于天下	1	120	12	10	9	0	3	1	4	0	1	1	7	107	409.5	0	0	0	0	0	0	0	409.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	4005	0
100110801	芙蓉剑	铜锡合金，是一把尊贵无双的剑	1	140	12	10	9	0	3	1	4	0	1	1	8	107	477.75	0	0	0	0	0	0	0	477.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	4005	0
100110901	千幻剑	挥出千道幻影，防不胜防	1	160	12	10	9	0	3	1	4	0	1	1	9	107	546	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4005	0
100111001	残月剑	月残过半，才出此剑	1	180	12	10	9	0	3	1	4	0	1	1	10	107	614.25	0	0	0	0	0	0	0	614.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	4005	0
100111101	无形神剑	以无形胜有形，人剑合一	1	200	12	10	9	0	3	1	4	0	1	1	11	107	682.5	0	0	0	0	0	0	0	682.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	4005	0
100210101	铁剑	没什么特别的一把铁剑	1	10	12	10	9	0	3	1	4	0	2	1	1	107	47.775	0	0	0	0	0	0	0	47.775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4001	0
100210201	软剑	材料好像很特殊，可以弯曲	1	20	12	10	9	0	3	1	4	0	2	1	2	107	95.55	0	0	0	0	0	0	0	95.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4002	0
100210301	淑女剑	就像淑女的身材一样细	1	40	12	10	9	0	3	1	4	0	2	1	3	107	191.1	0	0	0	0	0	0	0	191.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	4003	0
100210401	鱼肠剑	专诸置匕首于鱼腹中，以刺杀吴王僚	1	60	12	10	9	0	3	1	4	0	2	1	4	107	286.65	0	0	0	0	0	0	0	286.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4004	0
100210501	凝碧剑	亮丽宝剑，杀人于亮光之间	1	80	12	10	9	0	3	1	4	0	2	1	5	107	382.2	0	0	0	0	0	0	0	382.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	4005	0
100210601	玉女剑	双剑合壁，威力奇大，玉女剑为其一	1	100	12	10	9	0	3	1	4	0	2	1	6	107	477.75	0	0	0	0	0	0	0	477.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4005	0
100210701	玄铁剑	持之亦几无敌于天下	1	120	12	10	9	0	3	1	4	0	2	1	7	107	573.3	0	0	0	0	0	0	0	573.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	4005	0
100210801	芙蓉剑	铜锡合金，是一把尊贵无双的剑	1	140	12	10	9	0	3	1	4	0	2	1	8	107	668.85	0	0	0	0	0	0	0	668.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	4005	0
100210901	千幻剑	挥出千道幻影，防不胜防	1	160	12	10	9	0	3	1	4	0	2	1	9	107	764.4	0	0	0	0	0	0	0	764.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4005	0
100211001	残月剑	月残过半，才出此剑	1	180	12	10	9	0	3	1	4	0	2	1	10	107	859.95	0	0	0	0	0	0	0	859.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	4005	0
100211101	无形神剑	以无形胜有形，人剑合一	1	200	12	10	9	0	3	1	4	0	2	1	11	107	955.5	0	0	0	0	0	0	0	955.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	4005	0
100310101	铁剑	没什么特别的一把铁剑	1	10	12	10	9	0	3	1	4	0	3	1	1	107	68.25	0	0	0	0	0	0	0	68.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4001	0
100310201	软剑	材料好像很特殊，可以弯曲	1	20	12	10	9	0	3	1	4	0	3	1	2	107	136.5	0	0	0	0	0	0	0	136.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4002	0
100310301	淑女剑	就像淑女的身材一样细	1	40	12	10	9	0	3	1	4	0	3	1	3	107	273	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	4003	0
100310401	鱼肠剑	专诸置匕首于鱼腹中，以刺杀吴王僚	1	60	12	10	9	0	3	1	4	0	3	1	4	107	409.5	0	0	0	0	0	0	0	409.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4004	0
100310501	凝碧剑	亮丽宝剑，杀人于亮光之间	1	80	12	10	9	0	3	1	4	0	3	1	5	107	546	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	4005	0
100310601	玉女剑	双剑合壁，威力奇大，玉女剑为其一	1	100	12	10	9	0	3	1	4	0	3	1	6	107	682.5	0	0	0	0	0	0	0	682.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4005	0
100310701	玄铁剑	持之亦几无敌于天下	1	120	12	10	9	0	3	1	4	0	3	1	7	107	819	0	0	0	0	0	0	0	819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	4005	0
100310801	芙蓉剑	铜锡合金，是一把尊贵无双的剑	1	140	12	10	9	0	3	1	4	0	3	1	8	107	955.5	0	0	0	0	0	0	0	955.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	4005	0
100310901	千幻剑	挥出千道幻影，防不胜防	1	160	12	10	9	0	3	1	4	0	3	1	9	107	1092	0	0	0	0	0	0	0	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4005	0
100311001	残月剑	月残过半，才出此剑	1	180	12	10	9	0	3	1	4	0	3	1	10	107	1228.5	0	0	0	0	0	0	0	1228.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	4005	0
100311101	无形神剑	以无形胜有形，人剑合一	1	200	12	10	9	0	3	1	4	0	3	1	11	107	1365	0	0	0	0	0	0	0	1365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	4005	0
100120101	铁剑	没什么特别的一把铁剑	1	10	12	10	8	0	3	1	4	0	1	2	1	107	39	0.6	0.24	0.66	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4001	0
100120201	软剑	材料好像很特殊，可以弯曲	1	20	12	10	8	0	3	1	4	0	1	2	2	107	78	1.2	0.48	1.32	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4002	0
100120301	淑女剑	就像淑女的身材一样细	1	40	12	10	8	0	3	1	4	0	1	2	3	107	156	2.4	0.96	2.64	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	4003	0
100120401	鱼肠剑	专诸置匕首于鱼腹中，以刺杀吴王僚	1	60	12	10	8	0	3	1	4	0	1	2	4	107	234	3.6	1.44	3.96	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4004	0
100120501	凝碧剑	亮丽宝剑，杀人于亮光之间	1	80	12	10	8	0	3	1	4	0	1	2	5	107	312	4.8	1.92	5.28	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	4005	0
100120601	玉女剑	双剑合壁，威力奇大，玉女剑为其一	1	100	12	10	8	0	3	1	4	0	1	2	6	107	390	6	2.4	6.6	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4005	0
100120701	玄铁剑	持之亦几无敌于天下	1	120	12	10	8	0	3	1	4	0	1	2	7	107	468	7.2	2.88	7.92	0	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	4005	0
100120801	芙蓉剑	铜锡合金，是一把尊贵无双的剑	1	140	12	10	8	0	3	1	4	0	1	2	8	107	546	8.4	3.36	9.24	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	4005	0
100120901	千幻剑	挥出千道幻影，防不胜防	1	160	12	10	8	0	3	1	4	0	1	2	9	107	624	9.6	3.84	10.56	0	0	0	0	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4005	0
100121001	残月剑	月残过半，才出此剑	1	180	12	10	8	0	3	1	4	0	1	2	10	107	702	10.8	4.32	11.88	0	0	0	0	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	4005	0
100121101	无形神剑	以无形胜有形，人剑合一	1	200	12	10	8	0	3	1	4	0	1	2	11	107	780	12	4.8	13.2	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	4005	0
100220101	铁剑	没什么特别的一把铁剑	1	10	12	10	8	0	3	1	4	0	2	2	1	107	54.6	0.6	0.78	0.66	0	0	0	0	54.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4001	0
100220201	软剑	材料好像很特殊，可以弯曲	1	20	12	10	8	0	3	1	4	0	2	2	2	107	109.2	1.2	1.56	1.32	0	0	0	0	109.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4002	0
100220301	淑女剑	就像淑女的身材一样细	1	40	12	10	8	0	3	1	4	0	2	2	3	107	218.4	2.4	3.12	2.64	0	0	0	0	218.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	4003	0
100220401	鱼肠剑	专诸置匕首于鱼腹中，以刺杀吴王僚	1	60	12	10	8	0	3	1	4	0	2	2	4	107	327.6	3.6	4.68	3.96	0	0	0	0	327.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4004	0
100220501	凝碧剑	亮丽宝剑，杀人于亮光之间	1	80	12	10	8	0	3	1	4	0	2	2	5	107	436.8	4.8	6.24	5.28	0	0	0	0	436.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	4005	0
100220601	玉女剑	双剑合壁，威力奇大，玉女剑为其一	1	100	12	10	8	0	3	1	4	0	2	2	6	107	546	6	7.8	6.6	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4005	0
100220701	玄铁剑	持之亦几无敌于天下	1	120	12	10	8	0	3	1	4	0	2	2	7	107	655.2	7.2	9.36	7.92	0	0	0	0	655.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	4005	0
100220801	芙蓉剑	铜锡合金，是一把尊贵无双的剑	1	140	12	10	8	0	3	1	4	0	2	2	8	107	764.4	8.4	10.92	9.24	0	0	0	0	764.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	4005	0
100220901	千幻剑	挥出千道幻影，防不胜防	1	160	12	10	8	0	3	1	4	0	2	2	9	107	873.6	9.6	12.48	10.56	0	0	0	0	873.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4005	0
100221001	残月剑	月残过半，才出此剑	1	180	12	10	8	0	3	1	4	0	2	2	10	107	982.8	10.8	14.04	11.88	0	0	0	0	982.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	4005	0
100221101	无形神剑	以无形胜有形，人剑合一	1	200	12	10	8	0	3	1	4	0	2	2	11	107	1092	12	15.6	13.2	0	0	0	0	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	4005	0
100320101	铁剑	没什么特别的一把铁剑	1	10	12	10	8	0	3	1	4	0	3	2	1	107	78	0.6	0.96	0.66	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4001	0
100320201	软剑	材料好像很特殊，可以弯曲	1	20	12	10	8	0	3	1	4	0	3	2	2	107	156	1.2	1.92	1.32	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4002	0
100320301	淑女剑	就像淑女的身材一样细	1	40	12	10	8	0	3	1	4	0	3	2	3	107	312	2.4	3.84	2.64	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	4003	0
100320401	鱼肠剑	专诸置匕首于鱼腹中，以刺杀吴王僚	1	60	12	10	8	0	3	1	4	0	3	2	4	107	468	3.6	5.76	3.96	0	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4004	0
100320501	凝碧剑	亮丽宝剑，杀人于亮光之间	1	80	12	10	8	0	3	1	4	0	3	2	5	107	624	4.8	7.68	5.28	0	0	0	0	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	4005	0
100320601	玉女剑	双剑合壁，威力奇大，玉女剑为其一	1	100	12	10	8	0	3	1	4	0	3	2	6	107	780	6	9.6	6.6	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4005	0
100320701	玄铁剑	持之亦几无敌于天下	1	120	12	10	8	0	3	1	4	0	3	2	7	107	936	7.2	11.52	7.92	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	4005	0
100320801	芙蓉剑	铜锡合金，是一把尊贵无双的剑	1	140	12	10	8	0	3	1	4	0	3	2	8	107	1092	8.4	13.44	9.24	0	0	0	0	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	4005	0
100320901	千幻剑	挥出千道幻影，防不胜防	1	160	12	10	8	0	3	1	4	0	3	2	9	107	1248	9.6	15.36	10.56	0	0	0	0	1248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4005	0
100321001	残月剑	月残过半，才出此剑	1	180	12	10	8	0	3	1	4	0	3	2	10	107	1404	10.8	17.28	11.88	0	0	0	0	1404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	4005	0
100321101	无形神剑	以无形胜有形，人剑合一	1	200	12	10	8	0	3	1	4	0	3	2	11	107	1560	12	19.2	13.2	0	0	0	0	1560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	4005	0
100130101	铁剑	没什么特别的一把铁剑	1	10	12	10	7	0	3	1	4	0	1	3	1	107	43.875	0.6	0.24	0.9	0	0	0	0	43.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4001	0
100130201	软剑	材料好像很特殊，可以弯曲	1	20	12	10	7	0	3	1	4	0	1	3	2	107	87.75	1.2	0.48	1.8	0	0	0	0	87.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4002	0
100130301	淑女剑	就像淑女的身材一样细	1	40	12	10	7	0	3	1	4	0	1	3	3	107	175.5	2.4	0.96	3.6	0	0	0	0	175.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	4003	0
100130401	鱼肠剑	专诸置匕首于鱼腹中，以刺杀吴王僚	1	60	12	10	7	0	3	1	4	0	1	3	4	107	263.25	3.6	1.44	5.4	0	0	0	0	263.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4004	0
100130501	凝碧剑	亮丽宝剑，杀人于亮光之间	1	80	12	10	7	0	3	1	4	0	1	3	5	107	351	4.8	1.92	7.2	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	4005	0
100130601	玉女剑	双剑合壁，威力奇大，玉女剑为其一	1	100	12	10	7	0	3	1	4	0	1	3	6	107	438.75	6	2.4	9	0	0	0	0	438.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4005	0
100130701	玄铁剑	持之亦几无敌于天下	1	120	12	10	7	0	3	1	4	0	1	3	7	107	526.5	7.2	2.88	10.8	0	0	0	0	526.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	4005	0
100130801	芙蓉剑	铜锡合金，是一把尊贵无双的剑	1	140	12	10	7	0	3	1	4	0	1	3	8	107	614.25	8.4	3.36	12.6	0	0	0	0	614.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	4005	0
100130901	千幻剑	挥出千道幻影，防不胜防	1	160	12	10	7	0	3	1	4	0	1	3	9	107	702	9.6	3.84	14.4	0	0	0	0	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4005	0
100131001	残月剑	月残过半，才出此剑	1	180	12	10	7	0	3	1	4	0	1	3	10	107	789.75	10.8	4.32	16.2	0	0	0	0	789.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	4005	0
100131101	无形神剑	以无形胜有形，人剑合一	1	200	12	10	7	0	3	1	4	0	1	3	11	107	877.5	12	4.8	18	0	0	0	0	877.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	4005	0
100230101	铁剑	没什么特别的一把铁剑	1	10	12	10	7	0	3	1	4	0	2	3	1	107	61.425	0.6	0.78	0.9	0	0	0	0	61.425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4001	0
100230201	软剑	材料好像很特殊，可以弯曲	1	20	12	10	7	0	3	1	4	0	2	3	2	107	122.85	1.2	1.56	1.8	0	0	0	0	122.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4002	0
100230301	淑女剑	就像淑女的身材一样细	1	40	12	10	7	0	3	1	4	0	2	3	3	107	245.7	2.4	3.12	3.6	0	0	0	0	245.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	4003	0
100230401	鱼肠剑	专诸置匕首于鱼腹中，以刺杀吴王僚	1	60	12	10	7	0	3	1	4	0	2	3	4	107	368.55	3.6	4.68	5.4	0	0	0	0	368.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4004	0
100230501	凝碧剑	亮丽宝剑，杀人于亮光之间	1	80	12	10	7	0	3	1	4	0	2	3	5	107	491.4	4.8	6.24	7.2	0	0	0	0	491.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	4005	0
