服务器输出文件名	config_equip_level.xml	根名称	ability			
客户端输出文件名	config_equip_level.xml	项名称	equip_level			
uint16唯一ID	uint8品质	uint8当前(一价n级)	uint16升阶所需要的等级	uint32升级金币	uint32需要的升级书	uint8需要的升级书数量
3	3	3	3	3	3	3
idx	quailty	stage	need_level	need_gold	need_item_idx	need_item_num
101	1	1	0	100	220010001	10
102	1	2	10	100	220010001	10
103	1	3	20	100	220010001	10
104	1	4	60	100	220010001	10
105	1	5	80	100	220010001	10
106	1	6	100	100	220010001	10
107	1	7	120	100	220010001	10
108	1	8	140	100	220010001	10
109	1	9	160	100	220010001	10
110	1	10	180	100	220010001	10
111	1	11	200	100	220010001	10
201	2	1	0	100	220010001	10
202	2	2	10	100	220010001	10
203	2	3	20	100	220010001	10
204	2	4	60	100	220010001	10
205	2	5	80	100	220010001	10
206	2	6	100	100	220010001	10
207	2	7	120	100	220010001	10
208	2	8	140	100	220010001	10
209	2	9	160	100	220010001	10
210	2	10	180	100	220010001	10
211	2	11	200	100	220010001	10
301	3	1	0	100	220010001	10
302	3	2	10	100	220010001	10
303	3	3	20	100	220010001	10
304	3	4	60	100	220010001	10
305	3	5	80	100	220010001	10
306	3	6	100	100	220010001	10
307	3	7	120	100	220010001	10
308	3	8	140	100	220010001	10
309	3	9	160	100	220010001	10
310	3	10	180	100	220010001	10
311	3	11	200	100	220010001	10
401	4	1	0	100	220010001	10
402	4	2	10	100	220010001	10
403	4	3	20	100	220010001	10
404	4	4	60	100	220010001	10
405	4	5	80	100	220010001	10
406	4	6	100	100	220010001	10
407	4	7	120	100	220010001	10
408	4	8	140	100	220010001	10
409	4	9	160	100	220010001	10
410	4	10	180	100	220010001	10
411	4	11	200	100	220010001	10
501	5	1	0	100	220010001	10
502	5	2	10	100	220010001	10
503	5	3	20	100	220010001	10
504	5	4	60	100	220010001	10
505	5	5	80	100	220010001	10
506	5	6	100	100	220010001	10
507	5	7	120	100	220010001	10
508	5	8	140	100	220010001	10
509	5	9	160	100	220010001	10
510	5	10	180	100	220010001	10
511	5	11	200	100	220010001	10
