服务器输出文件名	config_equip_suit.xml	根名称	ability									
客户端输出文件名	config_equip_suit.xml	项名称	equip_suit_star									
唯一ID	类型	星/品质套装	集齐数量	加成类型数量	加成1类型	加成1值	加成2类型	加成2值	加成3类型	加成3值	加成4类型	加成4值
3	3	3	3	3	3	3	3	3	3	3	3	3
suit_idx	type	suit_level	count	addition_count	addition_type_0	addition_value_0	addition_type_1	addition_value_1	addition_type_2	addition_value_2	addition_type_3	addition_value_3
10704	1	7	4	1	102	10	0	0	0	0	0	0
10706	1	7	6	1	102	10	0	0	0	0	0	0
10708	1	7	8	1	102	10	0	0	0	0	0	0
10710	1	7	10	1	102	10	0	0	0	0	0	0
10804	1	8	4	1	102	10	0	0	0	0	0	0
10806	1	8	6	1	102	10	0	0	0	0	0	0
10808	1	8	8	1	102	10	0	0	0	0	0	0
10810	1	8	10	1	102	10	0	0	0	0	0	0
10904	1	9	4	1	102	10	0	0	0	0	0	0
10906	1	9	6	1	102	10	0	0	0	0	0	0
10908	1	9	8	1	102	10	0	0	0	0	0	0
10910	1	9	10	1	102	10	0	0	0	0	0	0
11004	1	10	4	1	102	10	0	0	0	0	0	0
11006	1	10	6	1	102	10	0	0	0	0	0	0
11008	1	10	8	1	102	10	0	0	0	0	0	0
11010	1	10	10	1	102	10	0	0	0	0	0	0
11104	1	11	4	1	102	10	0	0	0	0	0	0
11106	1	11	6	1	102	10	0	0	0	0	0	0
11108	1	11	8	1	102	10	0	0	0	0	0	0
11110	1	11	10	1	102	10	0	0	0	0	0	0
11204	1	12	4	1	102	10	0	0	0	0	0	0
11206	1	12	6	1	102	10	0	0	0	0	0	0
11208	1	12	8	1	102	10	0	0	0	0	0	0
11210	1	12	10	1	102	10	0	0	0	0	0	0
20104	2	1	4	1	102	10	0	0	0	0	0	0
20106	2	1	6	1	102	10	0	0	0	0	0	0
20108	2	1	8	1	102	10	0	0	0	0	0	0
20110	2	1	10	1	102	10	0	0	0	0	0	0
20204	2	2	4	1	102	10	0	0	0	0	0	0
20206	2	2	6	1	102	10	0	0	0	0	0	0
20208	2	2	8	1	102	10	0	0	0	0	0	0
20210	2	2	10	1	102	10	0	0	0	0	0	0
20304	2	3	4	1	102	10	0	0	0	0	0	0
20306	2	3	6	1	102	10	0	0	0	0	0	0
20308	2	3	8	1	102	10	0	0	0	0	0	0
20310	2	3	10	1	102	10	0	0	0	0	0	0
20404	2	4	4	1	102	10	0	0	0	0	0	0
20406	2	4	6	1	102	10	0	0	0	0	0	0
20408	2	4	8	1	102	10	0	0	0	0	0	0
20410	2	4	10	1	102	10	0	0	0	0	0	0
20504	2	5	4	1	102	10	0	0	0	0	0	0
20506	2	5	6	1	102	10	0	0	0	0	0	0
20508	2	5	8	1	102	10	0	0	0	0	0	0
20510	2	5	10	1	102	10	0	0	0	0	0	0
