服务器输出文件名	config_equip_wash_item.xml	根名称	ability	
客户端输出文件名	config_equip_wash_item.xml	项名称	equip_wash	
品质Idx	品质	阶(等级)	洗炼需要的ID	冼炼需要的数量
3	3	3	3	3
type_idx	quaily	stage	need_item_idx	need_item_count
101	1	1	220040001	1
102	1	2	220040001	1
103	1	3	220040001	1
104	1	4	220040001	1
105	1	5	220040001	1
106	1	6	220040001	1
107	1	7	220040001	1
108	1	8	220040001	1
109	1	9	220040001	1
110	1	10	220040001	1
111	1	11	220040001	1
201	2	1	220040001	2
202	2	2	220040001	2
203	2	3	220040001	2
204	2	4	220040001	2
205	2	5	220040001	2
206	2	6	220040001	2
207	2	7	220040001	2
208	2	8	220040001	2
209	2	9	220040001	2
210	2	10	220040001	2
211	2	11	220040001	2
301	3	1	220040001	3
302	3	2	220040001	3
303	3	3	220040001	3
304	3	4	220040001	3
305	3	5	220040001	3
306	3	6	220040001	3
307	3	7	220040001	3
308	3	8	220040001	3
309	3	9	220040001	3
310	3	10	220040001	3
311	3	11	220040001	3
401	4	1	220040001	4
402	4	2	220040001	4
403	4	3	220040001	4
404	4	4	220040001	4
405	4	5	220040001	4
406	4	6	220040001	4
407	4	7	220040001	4
408	4	8	220040001	4
409	4	9	220040001	4
410	4	10	220040001	4
411	4	11	220040001	4
501	5	1	220040001	5
502	5	2	220040001	5
503	5	3	220040001	5
504	5	4	220040001	5
505	5	5	220040001	5
506	5	6	220040001	5
507	5	7	220040001	5
508	5	8	220040001	5
509	5	9	220040001	5
510	5	10	220040001	5
511	5	11	220040001	5
