服务器输出文件名	config_equip_wash_type.xml	根名称	ability
客户端输出文件名	config_equip_wash_type.xml	项名称	equip_wash_type
唯一ID	部位	品质(颜色)	属性类型
3	3	3	3
type_idx	postion	quailty	addition_idx
101111	0	1	111
101112	0	1	112
101113	0	1	113
101114	0	1	114
101115	0	1	115
101116	0	1	116
101117	0	1	117
101118	0	1	118
101119	0	1	119
101120	0	1	120
101121	0	1	121
101122	0	1	122
102111	0	2	111
102112	0	2	112
102113	0	2	113
102114	0	2	114
102115	0	2	115
102116	0	2	116
102117	0	2	117
102118	0	2	118
102119	0	2	119
102120	0	2	120
102121	0	2	121
102122	0	2	122
103111	0	3	111
103112	0	3	112
103113	0	3	113
103114	0	3	114
103115	0	3	115
103116	0	3	116
103117	0	3	117
103118	0	3	118
103119	0	3	119
103120	0	3	120
103121	0	3	121
103122	0	3	122
104111	0	4	111
104112	0	4	112
104113	0	4	113
104114	0	4	114
104115	0	4	115
104116	0	4	116
104117	0	4	117
104118	0	4	118
104119	0	4	119
104120	0	4	120
104121	0	4	121
104122	0	4	122
105111	0	5	111
105112	0	5	112
105113	0	5	113
105114	0	5	114
105115	0	5	115
105116	0	5	116
105117	0	5	117
105118	0	5	118
105119	0	5	119
105120	0	5	120
105121	0	5	121
105122	0	5	122
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
