服务器输出文件名	config_equip_wash_value.xml	根名称	ability																				
客户端输出文件名	config_equip_wash_value.xml	项名称	equip_wash_type																				
唯一idx	部位	品质(颜色)	属性类型	阶	随机数量	类型值1概率%	类型值1开始	类型值1结束	类型值2概率%	类型值2开始	类型值2结束	类型值3概率%	类型值3开始	类型值3结束	类型值4概率%	类型值4开始	类型值4结束	类型值5概率%	类型值5开始	类型值5结束			
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3			
type_idx	postion	quailty	addition_idx	stage	addition_count	addition_mod_0	addition_value_start_0	addition_value_end_0	addition_mod_1	addition_value_start_1	addition_value_end_1	addition_mod_2	addition_value_start_2	addition_value_end_2	addition_mod_3	addition_value_start_3	addition_value_end_3	addition_mod_4	addition_value_start_4	addition_value_end_4			
10111101	0	1	111	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
10111202	0	1	112	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
10111303	0	1	113	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
10111404	0	1	114	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
10111505	0	1	115	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
10111606	0	1	116	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
10111707	0	1	117	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
10111808	0	1	118	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
10111909	0	1	119	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
10112010	0	1	120	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
10112111	0	1	121	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
10212201	0	2	122	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
10211102	0	2	111	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
10211203	0	2	112	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
10211304	0	2	113	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
10211405	0	2	114	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
10211506	0	2	115	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
10211607	0	2	116	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
10211708	0	2	117	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
10211809	0	2	118	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
10211910	0	2	119	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
10212011	0	2	120	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
10312101	0	3	121	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
10312202	0	3	122	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
10311103	0	3	111	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
10311204	0	3	112	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
10311305	0	3	113	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
10311406	0	3	114	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
10311507	0	3	115	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
10311608	0	3	116	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
10311709	0	3	117	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
10311810	0	3	118	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
10311911	0	3	119	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
10412001	0	4	120	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
10412102	0	4	121	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
10412203	0	4	122	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
10411104	0	4	111	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
10411205	0	4	112	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
10411306	0	4	113	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
10411407	0	4	114	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
10411508	0	4	115	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
10411609	0	4	116	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
10411710	0	4	117	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
10411811	0	4	118	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
10511901	0	5	119	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
10512002	0	5	120	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
10512103	0	5	121	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
10512204	0	5	122	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
10511105	0	5	111	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
10511206	0	5	112	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
10511307	0	5	113	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
10511408	0	5	114	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
10511509	0	5	115	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
10511610	0	5	116	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
10511711	0	5	117	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
11111801	1	1	118	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
11111902	1	1	119	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
11112003	1	1	120	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
11112104	1	1	121	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
11112205	1	1	122	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
11111106	1	1	111	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
11111207	1	1	112	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
11111308	1	1	113	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
11111409	1	1	114	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
11111510	1	1	115	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
11111611	1	1	116	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
11211701	1	2	117	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
11211802	1	2	118	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
11211903	1	2	119	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
11212004	1	2	120	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
11212105	1	2	121	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
11212206	1	2	122	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
11211107	1	2	111	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
11211208	1	2	112	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
11211309	1	2	113	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
11211410	1	2	114	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
11211511	1	2	115	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
11311601	1	3	116	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
11311702	1	3	117	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
11311803	1	3	118	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
11311904	1	3	119	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
11312005	1	3	120	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
11312106	1	3	121	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
11312207	1	3	122	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
11311108	1	3	111	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
11311209	1	3	112	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
11311310	1	3	113	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
11311411	1	3	114	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
11411501	1	4	115	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
11411602	1	4	116	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
11411703	1	4	117	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
11411804	1	4	118	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
11411905	1	4	119	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
11412006	1	4	120	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
11412107	1	4	121	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
11412208	1	4	122	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
11411109	1	4	111	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
11411210	1	4	112	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
11411311	1	4	113	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
11511401	1	5	114	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
11511502	1	5	115	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
11511603	1	5	116	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
11511704	1	5	117	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
11511805	1	5	118	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
11511906	1	5	119	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
