服务器输出文件名	config_function_open.xml	根名称	ability		
客户端输出文件名	config_function_open.xml	项名称	function_open		
功能	名称(功能名前端用)	标识	比较方式	开启值	占位值(x2)
3	1	3	2	3	2
type_id	name	slag	compare	value	flag
1	技能	1	3	1	1
2	装备升级	1	3	1	2
3	装备升星	1	3	1	4
4	装备转星	1	3	1	8
5	装备洗炼	1	3	1	16
6	经脉	1	3	1	32
7	小师妹	1	3	1	64
8	合成	1	3	1	128
9	社交	1	3	1	256
10	商城	1	3	1	512
11	竞技场	1	3	1	1024
12	江湖探宝	1	3	1	2048
13	比武场	1	3	1	4096
14	塔战役	1	3	1	8192
15	副本	1	3	1	16384
16	市场	1	3	1	32768
17	日常任务	1	3	1	65536
18	帮派	1	3	1	131072
19	传奇宝物	1	3	1	262144
