服务器输出文件名	config_grid_open.xml	根名称	ability	
客户端输出文件名	config_grid_open.xml	项名称	grid_open	
格子序号uint16	元宝uint16			
3	3			
type_slot	need_ingot			
51	2			
52	4			
53	6			
54	8			
55	10			
56	12			
57	14			
58	16			
59	18			
60	20			
61	22			
62	24			
63	26			
64	28			
65	30			
66	32			
67	34			
68	36			
69	38			
70	40			
71	42			
72	44			
73	46			
74	48			
75	50			
76	52			
77	54			
78	56			
79	58			
80	60			
81	62			
82	64			
83	66			
84	68			
85	70			
86	72			
87	74			
88	76			
89	78			
90	80			
91	82			
92	84			
93	86			
94	88			
95	90			
96	92			
97	94			
98	96			
99	98			
100	100			
101	102			
102	104			
103	106			
104	108			
105	110			
106	112			
107	114			
108	116			
109	118			
110	120			
111	122			
112	124			
113	126			
114	128			
115	130			
116	132			
117	134			
118	136			
119	138			
120	140			
121	142			
122	144			
123	146			
124	148			
125	150			
126	152			
127	154			
128	156			
129	158			
130	160			
131	162			
132	164			
133	166			
134	168			
135	170			
136	172			
137	174			
138	176			
139	178			
140	180			
141	182			
142	184			
143	186			
144	188			
145	190			
146	192			
147	194			
148	196			
149	198			
150	200			
151	202			
152	204			
153	206			
154	208			
155	210			
156	212			
157	214			
158	216			
159	218			
160	220			
161	222			
162	224			
163	226			
164	228			
165	230			
166	232			
167	234			
168	236			
169	238			
170	240			
171	242			
172	244			
173	246			
174	248			
175	250			
176	252			
177	254			
178	256			
179	258			
180	260			
181	262			
182	264			
183	266			
184	268			
185	270			
186	272			
187	274			
188	276			
189	278			
190	280			
191	282			
192	284			
193	286			
194	288			
195	290			
196	292			
197	294			
198	296			
199	298			
200	300			
