服务器输出文件名	config_hunt_treasure.xml	根名称	ability													
客户端输出文件名	config_hunt_treasure.xml	项名称	hunt_treasure													
位置	物品id	类型	取出的权重	获得权重	道具类型	对应数值	珍宝	等级索引								
3	3	3	3	3	3	3	3	3								
pos_id	item_id	cimelia_type	chose_rate	get_rate	item_type	value	important	level_idx								
1	220310001	1	1	1	2	1	0	0								
2	220410001	1	1	1	2	1	0	0								
3	220510001	1	1	1	2	1	0	0								
4	220410001	1	1	1	2	1	0	0								
5	220510001	1	1	1	2	1	0	0								
6	220610001	1	1	1	2	1	0	0								
7	220710001	1	1	1	2	1	0	0								
8	220810001	1	1	1	2	1	0	0			等级		段			
9	331000001	1	1	1	2	1	0	0			1-39		0			
10	331000002	1	1	1	2	1	0	0			40-89		1			
11	331010001	1	1	1	2	1	0	0			90-129		2			
12	331010002	1	1	1	2	1	0	0			130-169		3			
13	331020001	1	1	1	2	1	0	0			170-209		4			
14	331020002	1	1	1	2	1	0	0								
15	331030001	1	1	1	2	1	0	0								
16	331030002	1	1	1	2	1	0	0								
17	331040001	1	1	1	2	1	0	0								
18	331040002	1	1	1	2	1	0	0								
19	100110101	1	1	1	1	1	0	0								
20	100110201	1	1	1	1	1	0	0								
21	100110301	1	1	1	1	1	0	0								
22	101110101	1	1	1	1	1	0	0								
23	101110201	1	1	1	1	1	0	0								
24	101110301	1	1	1	1	1	0	0								
25	102110101	1	1	1	1	1	0	0								
26	102110201	1	1	1	1	1	0	0								
27	102110301	1	1	1	1	2	1	0								
28	103110101	1	1	1	1	2	1	0								
29	331000004	1	1	1	2	2	1	0								
30	331010004	1	1	1	2	2	1	0								
31	220310001	2	1	1	2	1	0	0								
32	220410001	2	1	1	2	1	0	0								
33	220510001	2	1	1	2	1	0	0								
34	220410001	2	1	1	2	1	0	0								
35	220510001	2	1	1	2	1	0	0								
36	220610001	2	1	1	2	1	0	0								
37	220710001	2	1	1	2	1	0	0								
38	220810001	2	1	1	2	1	0	0								
39	331000001	2	1	1	2	1	0	0								
40	331000002	2	1	1	2	1	0	0								
41	331010001	2	1	1	2	1	0	0								
42	331010002	2	1	1	2	1	0	0								
43	331020001	2	1	1	2	1	0	0								
44	331020002	2	1	1	2	1	0	0								
45	331030001	2	1	1	2	1	0	0								
46	331030002	2	1	1	2	1	0	0								
47	331040001	2	1	1	2	1	0	0								
48	331040002	2	1	1	2	1	0	0								
49	100110101	2	1	1	1	1	0	0								
