服务器输出文件名	config_item_upgrade.xml	根名称	ability		
客户端输出文件名	config_item_upgrade.xml	项名称	arena_item_upgrade		
唯一索引	物品ID	数量	下一个索引	宝物类型	暂时不需要配置
3	3	3	3	3	3
index	item_id	item_num	next_index	type	level
201	2	5000	100	1	1
202	2	6000	100	1	2
203	2	7000	0	1	3
1101	11	50	100	1	1
1102	11	60	100	1	2
1103	11	70	0	1	3
1201	12	500	100	1	1
1202	12	600	100	1	2
1203	12	700	0	1	3
1301	13	500	100	1	1
1302	13	600	100	1	2
1303	13	700	0	1	3
1401	14	500	100	1	1
1402	14	600	100	1	2
1403	14	700	0	1	3
1601	16	5	100	1	1
1602	16	6	100	1	2
1603	16	7	0	1	3
1701	17	2	100	1	1
1702	17	3	100	1	2
1703	17	4	0	1	3
1801	18	100	100	1	1
1802	18	150	100	1	2
1803	18	200	0	1	3
22001000101	220010001	1	200	2	1
22001000202	220010002	1	200	2	2
22001000303	220010003	1	0	2	3
22002000101	220020001	1	200	2	1
22002000202	220020002	1	200	2	2
22002000303	220020003	1	0	2	3
22003000101	220030001	1	200	2	1
22003000202	220030002	1	200	2	2
22003000303	220030003	1	0	2	3
22061000101	220610001	1	200	2	1
22061000202	220610002	1	200	2	2
22061000303	220610003	1	0	2	3
33100000101	331000001	1	200	2	1
33100000202	331000002	1	200	2	2
33100000303	331000003	1	0	2	3
33101000101	331010001	1	200	2	1
33101000202	331010002	1	200	2	2
33101000303	331010003	1	0	2	3
33102000101	331020001	1	200	2	1
33102000202	331020002	1	200	2	2
33102000303	331020003	1	0	2	3
33103000101	331030001	1	200	2	1
33103000202	331030002	1	200	2	2
33103000303	331030003	1	0	2	3
33104000101	331040001	1	200	2	1
33104000202	331040002	1	200	2	2
33104000303	331040003	1	0	2	3
33105000101	331050001	1	200	2	1
33105000202	331050002	1	200	2	2
33105000303	331050003	1	0	2	3
33106000101	331060001	1	200	2	1
33106000202	331060002	1	200	2	2
33106000303	331060003	1	0	2	3
33107000101	331070001	1	200	2	1
33107000202	331070002	1	200	2	2
33107000303	331070003	1	0	2	3
33108000101	331080001	1	200	2	1
33108000202	331080002	1	200	2	2
33108000303	331080003	1	0	2	3
33109000101	331090001	1	200	2	1
33109000202	331090002	1	200	2	2
33109000303	331090003	1	0	2	3
33110000101	331100001	1	200	2	1
33110000202	331100002	1	200	2	2
33110000303	331100003	1	0	2	3
33111000101	331110001	1	200	2	1
33111000202	331110002	1	200	2	2
33111000303	331110003	1	0	2	3
33112000101	331120001	1	200	2	1
33112000202	331120002	1	200	2	2
33112000303	331120003	1	0	2	3
					
					
					
					
					
