服务器输出文件名	config_items.xml	根名称	ability																															
客户端输出文件名	config_items.xml	项名称	items																															
道具类型id	道具名	颜色	描述	主类型	要求等级	出售货币类型	出售货币数量	排序权重(大的排前面)	有效时间	标记	分组大小	使用目标	使用类型	有效参数数量	作用类型0	作用值0	作用类型1	作用值1	作用类型2	作用值2	作用类型3	作用值3	作用类型4	作用值4	作用类型5	作用值5	作用类型6	作用值6	作用类型7	作用值7	作用类型8	作用值8	图标名称	
3	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	
item_idx	name	color	description	main_type	need_level	sell_money_type	sell_money_val	sort	shelf_life	item_flags	max_stack_amount	use_target	use_type	effect_count	effect_mod_type0	effect_mod_val0	effect_mod_type1	effect_mod_val1	effect_mod_type2	effect_mod_val2	effect_mod_type3	effect_mod_val3	effect_mod_type4	effect_mod_val4	effect_mod_type5	effect_mod_val5	effect_mod_type6	effect_mod_val6	effect_mod_type7	effect_mod_val7	effect_mod_type8	effect_mod_val8	icon_name	
220010001	[00ff00]普通的升级石[-]	00ff00	[410303]可把25级以下的装备提升到下一佩戴等级[-]	2	0	11	99	41	0	1	99	1	3	0	0	3000	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
220010002	[0099ff]精良的升级石[-]	0099ff	[410303]可把45级以下的装备提升到下一佩戴等级[-]	2	0	11	99	41	0	0	99	1	3	0	0	5000	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
220010003	[ce5dd4]优秀的升级石[-]	ce5dd4	[410303]可把65级以下的装备提升到下一佩戴等级[-]	2	0	11	99	41	0	2	99	1	3	0	0	4000	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
220010004	[eeb508]完美的升级石[-]	eeb508	[410303]可把85级以下的装备提升到下一佩戴等级[-]	2	0	11	99	41	0	3	99	1	5	0	0	5000	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
220020001	[00ff00]普通的升星石[-]	00ff00	[410303]有机率把1-3星装备，提高1星[-]	2	0	11	99	40	0	1	99	1	3	0	0	6000	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
220020002	[0099ff]精良的升星石[-]	0099ff	[410303]有机率把4-6星装备，提高1星[-]	2	0	11	99	40	0	3	99	1	3	0	0	2000	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	
220020003	[ce5dd4]优秀的升星石[-]	ce5dd4	[410303]有机率把7-9星装备，提高1星[-]	2	0	11	99	40	0	1	99	1	3	0	0	3000	0	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	
220020004	[eeb508]完美的升星石[-]	eeb508	[410303]有机率把10-12星装备，提高1星[-]	2	0	11	99	40	0	2	99	1	5	0	0	3000	0	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	
220030001	[00ff00]普通的升品石[-]	00ff00	[410303]可把普通品质的装备提升一个精良[-]	2	0	11	99	42	0	1	99	1	3	0	0	5000	0	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
220030002	[0099ff]精良的升品石[-]	0099ff	[410303]可把精良品质的装备提升一个优秀[-]	2	0	11	99	42	0	1	99	1	3	0	0	3000	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	
220030003	[ce5dd4]优秀的升品石[-]	ce5dd4	[410303]可把优秀品质的装备提升一个完美[-]	2	0	11	99	42	0	2	99	1	3	0	0	3000	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	
220030004	[eeb508]完美的升品石[-]	eeb508	[410303]可把优秀品质的装备提升一个无暇[-]	2	0	11	99	42	0	1	99	1	5	0	0	1000	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	
220040001	[e7e8ff]洗炼丹[-]	e7e8ff	[410303]装备洗炼时的必备物品[-]	2	0	11	99	44	0	1	99	1	1	0	0	3000	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	
220110001	[0099ff]新手礼包[-]	0099ff	[410303]打开你就知道有什么了[-]	2	0	11	99	44	0	3	99	1	2	0	0	3000	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	
220110002	[ce5dd4]新手礼包[-]	ce5dd4	[410303]打开你就知道有什么了[-]	2	0	11	99	44	0	1	99	1	2	0	0	2000	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	
220110003	[00ff00]新手礼包[-]	00ff00	[410303]打开你就知道有什么了[-]	2	0	11	99	44	0	2	99	1	2	0	0	3000	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	
220210001	[0099ff]元宝袋[-]	0099ff	[410303]里面有一些元宝，够你花了100[-]	2	0	11	99	43	0	0	99	1	2	1	11	2000	0	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	
220210002	[ce5dd4]元宝大袋[-]	ce5dd4	[410303]里面有好多元宝，估计你会觉得少。只有300[-]	2	0	11	99	43	0	0	99	1	2	1	11	3000	0	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	
220210003	[00ff00]元宝箱[-]	00ff00	[410303]能拿多少给多少元宝，说笑的呢，只有1000[-]	2	0	11	99	43	0	1	99	1	2	1	11	1000	0	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	
220310001	[0099ff]金币袋[-]	0099ff	[410303]里面有一些金币，够你花了10000[-]	2	0	11	99	39	0	1	99	1	2	1	12	2000	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	
220310002	[ce5dd4]金币大袋[-]	ce5dd4	[410303]里面有好多金币，估计你会觉得少。只有30000[-]	2	0	11	99	39	0	2	99	1	2	1	12	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	
220310003	[0099ff]金币箱[-]	0099ff	[410303]能拿多少给多少金币，说笑的呢，只有100000[-]	2	0	11	99	39	0	3	99	1	2	1	12	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	
220410001	[0099ff]声望券[-]	0099ff	[410303]声望是很重要的，给你2000[-]	2	0	11	99	38	0	2	99	1	2	1	13	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	
220410002	[0099ff]声望券[-]	0099ff	[410303]声望是很重要的，给你2000[-]	2	0	11	99	38	0	0	99	1	2	1	13	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	
220410003	[0099ff]声望券[-]	0099ff	[410303]声望是很重要的，给你2000[-]	2	0	11	99	38	0	1	99	1	2	1	13	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	
220510001	[0099ff]功勋券[-]	0099ff	[410303]功勋是你战斗的标准，你只有200[-]	2	0	11	99	37	0	0	99	1	2	1	14	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	
220510002	[0099ff]功勋券[-]	0099ff	[410303]功勋是你战斗的标准，你只有200[-]	2	0	11	99	37	0	2	99	1	2	1	14	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	
220510003	[0099ff]功勋券[-]	0099ff	[410303]功勋是你战斗的标准，你只有200[-]	2	0	11	99	37	0	3	99	1	2	1	14	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	
220610001	[0099ff]闭关心丹[-]	0099ff	[410303]闭关能得到5000经验[-]	2	0	11	99	36	0	1	99	1	1	1	2	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	
