服务器输出文件名	config_level_extend.xml	根名称	ability	
客户端输出文件名	config_level_extend.xml	项名称	level_extend	
角色等级	升级到该级，加n点技能点	技能槽位数量	uint16好友上限	uint16体力
3	3	3	3	3
level_idx	skill_point_add	skill_slot_num	friend_num	force_max
1	5	1	20	99
2	5	1	21	99
3	5	1	22	99
4	5	1	23	99
5	5	1	24	99
6	5	1	25	99
7	5	1	26	99
8	5	1	27	99
9	5	1	28	99
10	5	2	29	99
11	5	2	30	99
12	5	2	31	99
13	5	2	32	99
14	5	2	33	99
15	5	2	34	99
16	5	2	35	99
17	5	2	36	99
18	5	2	37	99
19	5	2	38	99
20	5	3	39	99
21	5	3	40	99
22	5	3	41	99
23	5	3	42	99
24	5	3	43	99
25	5	3	44	99
26	5	3	45	99
27	5	3	46	99
28	5	3	47	99
29	5	3	48	99
30	5	3	49	99
31	5	3	50	99
32	5	3	51	99
33	5	3	52	99
34	5	3	53	99
35	5	3	54	99
36	5	3	55	99
37	5	3	56	99
38	5	3	57	99
39	5	3	58	99
40	5	3	59	99
41	5	3	60	99
42	5	3	61	99
43	5	3	62	99
44	5	3	63	99
45	5	3	64	99
46	5	3	65	99
47	5	3	66	99
48	5	3	67	99
49	5	3	68	99
50	5	3	69	99
51	5	3	70	99
52	5	3	71	99
53	5	3	72	99
54	5	3	73	99
55	5	3	74	99
56	5	3	75	99
57	5	3	76	99
58	5	3	77	99
59	5	3	78	99
60	5	3	79	99
61	5	3	80	99
62	5	3	81	99
63	5	3	82	99
64	5	3	83	99
65	5	3	84	99
66	5	3	85	99
67	5	3	86	99
68	5	3	87	99
69	5	3	88	99
70	5	3	89	99
71	5	3	90	99
72	5	3	91	99
73	5	3	92	99
74	5	3	93	99
75	5	3	94	99
76	5	3	95	99
77	5	3	96	99
78	5	3	97	99
79	5	3	98	99
80	5	3	99	99
81	5	3	100	99
82	5	3	100	99
83	5	3	100	99
84	5	3	100	99
85	5	3	100	99
86	5	3	100	99
87	5	3	100	99
88	5	3	100	99
89	5	3	100	99
90	5	3	100	99
91	5	3	100	99
92	5	3	100	99
93	5	3	100	99
94	5	3	100	99
95	5	3	100	99
96	5	3	100	99
97	5	3	100	99
98	5	3	100	99
99	5	3	100	99
100	5	3	100	99
