服务器输出文件名	config_monster_base.xml	根名称	root																		
客户端输出文件名	config_monster_base.xml	项名称	item																		
数值id（对应怪物工厂的数值ID）	int生命上限	int生命回复	int怒气上限	int怒气回复	float武攻	float武防	float内攻	float内防	smallint暴击率:百份比	float暴击伤害:倍率	smallint格挡率:百份比	smallint格挡值:百份比	smallint闪避:百份比	smallint命中:百份比	float伤害减免:减少倍率	float CD减免:倍率	float近战减免:倍率	smallint远程减免:倍率	int击中生命回复	int击杀怒气回复	移动速度
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1
index_id	hp_max	hp_recover	anger_max	anger_recover	attack	defend	inattack	indefend	crit_rate	crit_val	block_rate	block_val	dodge	hit	skip_damage	skip_cd	skip_short_damage	skip_long_damage	hit_recover_hp	kill_recover_anger	m_speed
1	30	0	100	10	15	5	15	5	0	1.5	5	90	5	900	50	200	50	50	0	20	3
2	60	0	100	10	30	6	30	6	0	1.5	5	90	5	900	50	200	50	50	0	20	3
3	90	0	100	10	45	7	45	7	0	1.5	5	90	5	900	50	200	50	50	0	20	3
4	120	0	100	10	60	8	60	8	0	1.5	5	90	5	900	50	200	50	50	0	20	3
5	150	0	100	10	75	9	75	9	0	1.5	5	90	5	900	50	200	50	50	0	20	3
6	180	0	100	10	90	10	90	10	0	1.5	5	90	5	900	50	200	50	50	0	20	3
7	210	0	100	10	105	11	105	11	0	1.5	5	90	5	900	50	200	50	50	0	20	3
8	240	0	100	10	120	12	120	12	0	1.5	5	90	5	900	50	200	50	50	0	20	3
9	270	0	100	10	135	13	135	13	0	1.5	5	90	5	900	50	200	50	50	0	20	3
10	300	0	100	10	150	14	150	14	0	1.5	5	90	5	900	50	200	50	50	0	20	3
11	330	0	100	10	165	15	165	15	0	1.5	5	90	5	900	50	200	50	50	0	20	3
12	360	0	100	10	180	16	180	16	0	1.5	5	90	5	900	50	200	50	50	0	20	3
13	390	0	100	10	195	17	195	17	0	1.5	5	90	5	900	50	200	50	50	0	20	3
14	420	0	100	10	210	18	210	18	0	1.5	5	90	5	900	50	200	50	50	0	20	3
15	450	0	100	10	225	19	225	19	0	1.5	5	90	5	900	50	200	50	50	0	20	3
16	480	0	100	10	240	20	240	20	0	1.5	5	90	5	900	50	200	50	50	0	20	3
17	510	0	100	10	255	21	255	21	0	1.5	5	90	5	900	50	200	50	50	0	20	3
18	540	0	100	10	270	22	270	22	0	1.5	5	90	5	900	50	200	50	50	0	20	3
19	570	0	100	10	285	23	285	23	5	1.5	10	90	5	900	50	200	50	50	0	20	3
20	600	0	100	10	300	24	300	24	10	1.5	10	90	5	900	50	200	50	50	0	20	3
21	630	0	100	10	315	25	315	25	15	1.5	10	90	5	900	50	200	50	50	0	20	3
22	660	0	100	10	330	26	330	26	20	1.5	10	90	5	900	50	200	50	50	0	20	3
23	690	0	100	10	345	27	345	27	25	1.5	10	90	5	900	50	200	50	50	0	20	3
24	720	0	100	10	360	28	360	28	30	1.5	10	90	5	900	50	200	50	50	0	20	3
25	750	0	100	10	375	29	375	29	35	1.5	10	90	5	900	50	200	50	50	0	20	3
26	780	0	100	10	390	30	390	30	40	1.5	10	90	5	900	50	200	50	50	0	20	3
27	810	0	100	10	405	31	405	31	45	1.5	10	90	5	900	50	200	50	50	0	20	3
28	840	0	100	10	420	32	420	32	50	1.5	10	90	5	900	50	200	50	50	0	20	3
29	870	0	100	10	435	33	435	33	55	1.5	10	90	5	900	50	200	50	50	0	20	3
30	900	0	100	10	450	34	450	34	60	1.5	10	90	5	900	50	200	50	50	0	20	3
31	930	10	100	10	465	35	465	35	65	1.5	10	90	5	900	50	200	50	50	0	20	3
32	960	10	100	10	480	36	480	36	70	1.5	10	90	5	900	50	200	50	50	0	20	3
33	990	10	100	10	495	37	495	37	75	1.5	10	90	5	900	50	200	50	50	0	20	3
34	1020	10	100	10	510	38	510	38	80	1.5	10	90	5	900	50	200	50	50	0	20	3
35	1050	10	100	10	525	39	525	39	85	1.5	10	90	5	900	50	200	50	50	0	20	3
36	1080	10	100	10	540	40	540	40	90	1.5	10	90	5	900	50	200	50	50	0	20	3
37	1110	10	100	10	555	41	555	41	95	1.5	15	90	5	900	50	200	50	50	0	20	3
38	1140	10	100	10	570	42	570	42	100	1.5	15	90	5	900	50	200	50	50	0	20	3
39	1170	10	100	10	585	43	585	43	105	1.5	15	90	5	900	50	200	50	50	0	20	3
40	1200	10	100	10	600	44	600	44	110	1.5	15	90	5	900	50	200	50	50	0	20	3
41	1230	10	100	10	615	45	615	45	115	1.5	15	90	5	900	50	200	50	50	0	20	3
42	1260	10	100	10	630	46	630	46	120	1.5	15	90	5	900	50	200	50	50	0	20	3
43	1290	10	100	10	645	47	645	47	125	1.5	15	90	5	900	50	200	50	50	0	20	3
44	1320	10	100	10	660	48	660	48	130	1.5	15	90	5	900	50	200	50	50	0	20	3
45	1350	10	100	10	675	49	675	49	135	1.5	15	90	5	900	50	200	50	50	0	20	3
46	1380	10	100	10	690	50	690	50	140	1.5	15	90	5	900	50	200	50	50	0	20	3
47	1410	10	100	10	705	51	705	51	145	1.5	15	90	5	900	50	200	50	50	0	20	3
48	1440	10	100	10	720	52	720	52	150	1.5	15	90	5	900	50	200	50	50	0	20	3
49	1470	10	100	10	735	53	735	53	155	1.5	15	90	5	900	50	200	50	50	0	20	3
50	1500	10	100	10	750	54	750	54	160	1.5	15	90	5	900	50	200	50	50	0	20	3
51	1530	10	100	10	765	55	765	55	165	1.5	15	90	5	900	50	200	50	50	0	20	3
52	1560	10	100	10	780	56	780	56	170	1.5	15	90	5	900	50	200	50	50	0	20	3
53	1590	10	100	10	795	57	795	57	175	1.5	15	90	5	900	50	200	50	50	0	20	3
54	1620	10	100	10	810	58	810	58	180	1.5	15	90	5	900	50	200	50	50	0	20	3
55	1650	10	100	10	825	59	825	59	185	1.5	20	90	5	900	50	200	50	50	0	20	3
56	1680	10	100	10	840	60	840	60	190	1.5	20	90	5	900	50	200	50	50	0	20	3
57	1710	10	100	10	855	61	855	61	195	1.5	20	90	5	900	50	200	50	50	0	20	3
58	1740	10	100	10	870	62	870	62	200	1.5	20	90	5	900	50	200	50	50	0	20	3
59	1770	10	100	10	885	63	885	63	205	1.5	20	90	5	900	50	200	50	50	0	20	3
60	1800	10	100	10	900	64	900	64	210	1.5	20	90	5	900	50	200	50	50	0	20	3
61	1830	10	100	10	915	65	915	65	215	1.5	20	90	5	900	50	200	50	50	0	20	3
62	1860	10	100	10	930	66	930	66	220	1.5	20	90	5	900	50	200	50	50	0	20	3
63	1890	10	100	10	945	67	945	67	225	1.5	20	90	5	900	50	200	50	50	0	20	3
64	1920	10	100	10	960	68	960	68	230	1.5	20	90	5	900	50	200	50	50	0	20	3
65	1950	10	100	10	975	69	975	69	235	1.5	20	90	5	900	50	200	50	50	0	20	3
66	1980	10	100	10	990	70	990	70	240	1.5	20	90	5	900	50	200	50	50	0	20	3
67	2010	10	100	10	1005	71	1005	71	245	1.5	20	90	5	900	50	200	50	50	0	20	3
68	2040	10	100	10	1020	72	1020	72	250	1.5	20	90	5	900	50	200	50	50	0	20	3
69	2070	10	100	10	1035	73	1035	73	255	1.5	20	90	5	900	50	200	50	50	0	20	3
70	2100	10	100	10	1050	74	1050	74	260	1.5	20	90	5	900	50	200	50	50	0	20	3
71	2130	10	100	10	1065	75	1065	75	265	1.5	20	90	5	900	50	200	50	50	0	20	3
72	2160	10	100	10	1080	76	1080	76	270	1.5	20	90	5	900	50	200	50	50	0	20	3
73	2190	10	100	10	1095	77	1095	77	275	1.5	25	90	5	900	50	200	50	50	0	20	3
74	2220	10	100	10	1110	78	1110	78	280	1.5	25	90	5	900	50	200	50	50	0	20	3
75	2250	10	100	10	1125	79	1125	79	285	1.5	25	90	5	900	50	200	50	50	0	20	3
76	2280	10	100	10	1140	80	1140	80	290	1.5	25	90	5	900	50	200	50	50	0	20	3
77	2310	10	100	10	1155	81	1155	81	295	1.5	25	90	5	900	50	200	50	50	0	20	3
78	2340	10	100	10	1170	82	1170	82	300	1.5	25	90	5	900	50	200	50	50	0	20	3
79	2370	10	100	10	1185	83	1185	83	305	1.5	25	90	5	900	50	200	50	50	0	20	3
80	2400	10	100	10	1200	84	1200	84	310	1.5	25	90	5	900	50	200	50	50	0	20	3
81	2430	10	100	10	1215	85	1215	85	315	1.5	25	90	5	900	50	200	50	50	0	20	3
82	2460	10	100	10	1230	86	1230	86	320	1.5	25	90	5	900	50	200	50	50	0	20	3
