服务器输出文件名	config_monster_born.xml	根名称	root																	
客户端输出文件名	config_monster_born.xml	项名称	item																	
唯一id	怪物组	怪物id(怪才工厂的怪物ID)	场景	出现位置x	出现位置y	出现位置z	巡逻位置x	巡逻位置y	巡逻位置z	出现方式	出现距离	掉落物品id	掉落装备星级	掉落概率	出现位置x	出现位置y	出现位置z	追击范围	出现方式	出现距离
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1
index_idx	group_id	wild_id	scene_id	pos_x	pos_y	pos_z	patrol_pos_x	patrol_pos_y	patrol_pos_z	appear_type	appear_distance	drop_item_id	drop_item_star	drop_rate	client_pos_x	client_pos_y	client_pos_z	chase_m	client__appear_type	client_appear_distance
1	1	1	20001	-344	1	-122	-344	1	-122	1	0	100110101	1	100	-344	1	-122	4	1	0
2	1	2	20001	-345	1	-121	-345	1	-121	1	0	100110201	1	100	-345	1	-121	5	1	0
3	1	1	20001	-346	1	-120	-346	1	-120	1	0	100110301	1	70	-346	1	-120	6	2	1
4	1	2	20001	-345	1	-119	-345	1	-119	1	1	101110101	1	50	-345	1	-119	3	2	1
5	1	1	20001	-343	1	-119	-343	1	-119	1	0	101110201	1	30	-343	1	-119	2	1	0
6	1	2	20001	-343	1	-118	-343	1	-118	2	0	101110301	1	100	-343	1	-118	4	1	0
7	1	1	20001	-344	1	-118	-344	1	-118	2	1	102110101	1	100	-344	1	-118	4	2	1
8	1	2	20001	-342	1	-117	-342	1	-117	2	0	102110201	1	100	-342	1	-117	5	2	1
9	1	1	20001	-341	1	-116	-341	1	-116	2	0	102110301	1	100	-341	1	-116	6	1	0
10	1	2	20001	-341	1	-114	-341	1	-114	2	0	103110101	1	70	-341	1	-114	3	1	0
11	1	1	20001	-339	1	-114	-339	1	-114	1	0	103110201	1	50	-339	1	-114	2	2	1
12	1	2	20001	-342	1	-112	-342	1	-112	1	1	103110301	1	30	-342	1	-112	4	2	1
13	1	1	20001	-340	1	-111	-340	1	-111	1	0	104110101	1	100	-340	1	-111	4	1	0
14	2	2	20001	-330	1	-90	-330	1	-90	1	0	104110201	1	100	-330	1	-90	5	1	0
15	2	1	20001	-333	1	-100	-333	1	-100	1	1	104110301	1	100	-333	1	-100	6	2	1
16	3	2	20001	-338	1	-109	-338	1	-109	2	0	105110101	1	100	-338	1	-109	3	2	1
17	3	1	20001	-343	1	-119	-343	1	-119	2	0	105110201	1	70	-343	1	-119	2	1	0
18	3	2	20001	-347	1	-129	-347	1	-129	2	0	105110301	1	50	-347	1	-129	4	1	1
																				
																				
