服务器输出文件名	config_monster_factory.xml	根名称	root									
客户端输出文件名	config_monster_factory.xml	项名称	item									
怪物id	类型id（模型）	名称	数值id（对应怪物数值的ID）	技能1id	技能1等级	技能2id	技能2等级	宝石id1	宝石id2	宝石id3	宝石id4	宝石id5
3	3	1	3	3	3	3	3	3	3	3	3	3
wild_id	wild_type	name	base_id	skill_id1	skill_level1	skill_id2	skill_level2	stone1	stone2	stone3	stone4	stone5
1	10001	丐帮弟子	1	0	0	0	0	0	0	0	0	0
2	10002	丐帮八袋弟子	2	0	0	0	0	0	0	0	0	0
3	10003	丐帮长老	3	0	0	0	0	0	0	0	0	0
4	10003	辽国武士	4	0	0	0	0	0	0	0	0	0
5	10007	少林弟子	5	0	0	0	0	0	0	0	0	0
6	10008	少林铜人	6	0	0	0	0	0	0	0	0	0
7	10009	少林长老	7	0	0	0	0	0	0	0	0	0
8	10010	武林人士	8	0	0	0	0	0	0	0	0	0
9	10011	灵鹫宫护法	9	0	0	0	0	0	0	0	0	0
10	10012	老虎	10	0	0	0	0	0	0	0	0	0
11	10013	蟒蛇	11	0	0	0	0	0	0	0	0	0
12	10014	豺狼	12	0	0	0	0	0	0	0	0	0
13	10015	金国弓兵	13	0	0	0	0	0	0	0	0	0
14	10016	金国铁甲兵	14	0	0	0	0	0	0	0	0	0
15	10017	金国将领	15	0	0	0	0	0	0	0	0	0
16	10018	蒙古大汉	16	0	0	0	0	0	0	0	0	0
17	10019	蒙古骑兵	17	0	0	0	0	0	0	0	0	0
18	10020	蒙古将领	18	0	0	0	0	0	0	0	0	0
19	10021	魔教女教徒	19	0	0	0	0	0	0	0	0	0
20	10022	魔教女暗部动	20	0	0	0	0	0	0	0	0	0
21	10023	魔教护法动	21	0	0	0	0	0	0	0	0	0
22	10024	全真长老	22	0	0	0	0	0	0	0	0	0
23	10025	武当长老	23	0	0	0	0	0	0	0	0	0
24	10027	五岳派长老	24	0	0	0	0	0	0	0	0	0
25	10029	五岳派长老	25	0	0	0	0	0	0	0	0	0
26	10030	秦红绵	26	0	0	0	0	0	0	0	0	0
27	10031	大理国护卫	27	0	0	0	0	0	0	0	0	0
28	10031	石头	28	0	0	0	0	0	0	0	0	0
29	10034	金蜂	29	0	0	0	0	0	0	0	0	0
30	30001	鸠摩智	30	0	0	0	0	0	0	0	0	0
31	30002	慕容复	31	0	0	0	0	0	0	0	0	0
32	30003	段誉	32	0	0	0	0	0	0	0	0	0
33	30004	虚竹	33	0	0	0	0	0	0	0	0	0
34	30005	乔峰	34	0	0	0	0	0	0	0	0	0
35	30006	天山童姥	35	0	0	0	0	0	0	0	0	0
36	30007	郭靖	36	0	0	0	0	0	0	0	0	0
37	30008	黄蓉	37	0	0	0	0	0	0	0	0	0
38	30009	洪七公	38	0	0	0	0	0	0	0	0	0
39	30010	黄药师	39	0	0	0	0	0	0	0	0	0
40	30011	欧阳锋	40	0	0	0	0	0	0	0	0	0
