服务器输出文件名	config_offline_exp.xml	根名称	ability	
客户端输出文件名	config_offline_exp.xml	项名称	offline_exp_open	
角色等级	可获得的经验	限制获得经验时间	宠物获取奖励物品	宠物获取的数量
3	3	3	3	3
level	get_exp	limit_time	pet_item_id	pet_item_num
1	0	28800	220710001	0
2	0	28800	220710001	0
3	0	28800	220710001	0
4	0	28800	220710001	0
5	0	28800	220710001	0
6	0	28800	220710001	0
7	0	28800	220710001	0
8	0	28800	220710001	0
9	0	28800	220710001	0
10	0	28800	220710001	0
11	0	28800	220710001	0
12	0	28800	220710001	0
13	1	28800	220710001	1
14	1	28800	220710001	1
15	1	28800	220710001	1
16	1	28800	220710001	1
17	2	28800	220710001	1
18	2	28800	220710001	1
19	2	28800	220710001	1
20	3	28800	220710001	1
21	3	28800	220710001	1
22	4	28800	220710001	1
23	5	28800	220710001	1
24	5	28800	220710001	1
25	6	28800	220710001	1
26	7	28800	220710001	1
27	8	28800	220710001	1
28	9	28800	220710001	1
29	10	28800	220710001	1
30	12	28800	220710001	1
31	14	28800	220710001	1
32	16	28800	220710001	1
33	17	28800	220710001	1
34	19	28800	220710001	1
35	21	28800	220710001	1
36	23	28800	220710001	1
37	25	28800	220710001	1
38	27	28800	220710001	1
39	30	28800	220710001	1
40	33	28800	220710001	1
41	35	28800	220710001	1
42	38	28800	220710001	1
43	42	28800	220710001	1
44	45	28800	220710001	1
45	48	28800	220710001	1
46	52	28800	220710001	1
47	56	28800	220710001	1
48	60	28800	220710001	1
49	65	28800	220710001	1
50	69	28800	220710001	1
51	74	28800	220710001	1
52	79	28800	220710001	1
53	84	28800	220710001	1
54	90	28800	220710001	1
55	96	28800	220710001	1
56	102	28800	220710001	1
57	108	28800	220710001	1
58	115	28800	220710001	1
59	122	28800	220710001	1
60	129	28800	220710001	1
61	136	28800	220710001	1
62	144	28800	220710001	1
63	152	28800	220710001	1
64	161	28800	220710001	1
65	170	28800	220710001	1
66	179	28800	220710001	1
67	188	28800	220710001	1
68	198	28800	220710001	1
69	209	28800	220710001	1
70	219	28800	220710001	1
71	233	28800	220710001	1
72	244	28800	220710001	1
73	256	28800	220710001	1
74	268	28800	220710001	1
75	281	28800	220710001	1
76	294	28800	220710001	1
77	307	28800	220710001	1
78	321	28800	220710001	1
79	336	28800	220710001	1
80	351	28800	220710001	1
81	366	28800	220710001	1
82	382	28800	220710001	1
83	398	28800	220710001	1
84	415	28800	220710001	1
85	432	28800	220710001	1
86	450	28800	220710001	1
87	468	28800	220710001	1
88	487	28800	220710001	1
