服务器输出文件名	config_progress_base.xml	根名称	root																																							
客户端输出文件名	config_progress_base.xml	项名称	item																																							
关卡id	入口	场景id	启动要求接受任务id	通关条件	消耗体力	uint8普通奖励项数量	uint16普通奖励1类型	int32普通奖励1值	uint16普通奖励2类型	int32普通奖励2值	uint16普通奖励3类型	int32普通奖励3值	uint16普通奖励4类型	int32普通奖励4值	uint8物品奖励项数量	uint16物品奖励1类型	uint16物品奖励1值	uint16物品奖励2类型	uint16物品奖励2值	uint16物品奖励3类型	uint16物品奖励3值	uint16物品奖励4类型	uint16物品奖励4值	关卡出生X坐标	关卡出生Y坐标	关卡出生Z坐标	分段数	第1段终点X	第1段终点Y	第1段终点Z	第2段终点	第2段终点	第2段终点	第3段终点	第3段终点	第3段终点	第4段终点	第4段终点	第4段终点	第5段终点	第5段终点	第5段终点
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
index_idx	spawn_id	scene_id	task_id	boss_id	cost_force	count_reward	reward_char_mod_type_0	reward_char_mod_value_0	reward_char_mod_type_1	reward_char_mod_value_1	reward_char_mod_type_2	reward_char_mod_value_2	reward_char_mod_type_3	reward_char_mod_value_3	count_reward_item	reward_item_item_type_idx_0	reward_item_item_count_0	reward_item_item_type_idx_1	reward_item_item_count_1	reward_item_item_type_idx_2	reward_item_item_count_2	reward_item_item_type_idx_3	reward_item_item_count_3	p_bron_x	p_bron_y	p_bron_z	subsection	end_point_1_x	end_point_1_y	end_point_1_z	end_point_2_x	end_point_2_y	end_point_2_z	end_point_3_x	end_point_3_y	end_point_3_z	end_point_4_x	end_point_4_y	end_point_4_z	end_point_5_x	end_point_5_y	end_point_5_z
101	10001	63001	1001	0	5	2	2	30	12	100	0	0	0	0	1	220020001	1	0	0	0	0	0	0	-108	19	-9	3	-140	19	-9	-173	19	-19	-200	19	-9	0	0	0	0	0	0
102	10002	63001	1003	0	5	2	2	70	12	150	0	0	0	0	1	220020001	1	0	0	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
103	10003	63001	1005	0	5	2	2	110	12	200	0	0	0	0	1	220020001	1	0	0	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
104	10004	63001	1006	0	5	2	2	150	12	250	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
105	10005	63001	1010	0	5	2	2	190	12	300	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
106	10006	63001	1012	0	5	2	2	230	12	350	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
107	10007	63001	1019	0	5	2	2	270	12	400	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
108	10008	63001	1021	0	5	2	2	310	12	450	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
109	10009	63001	1022	0	5	2	2	350	12	500	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
110	10010	63001	1024	0	5	2	2	390	12	550	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
111	10011	63001		0	5	2	2	430	12	600	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
112	10012	63001		0	5	2	2	470	12	650	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
113	10013	63001		0	5	2	2	510	12	700	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
114	10014	63001		0	5	2	2	550	12	750	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
115	10015	63001		0	5	2	2	590	12	800	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-225	19	-11	3	-283	7	-11	-323	1	-79	-342	1	-114	0	0	0	0	0	0
116	10016	63002		0	5	3	2	630	12	850	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-10	1	-290	3	-18	1	-247	-33	1	-191	-68	1	-147	0	0	0	0	0	0
117	10017	63002		0	5	3	2	670	12	900	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-79	1	-142	3	-100	1	-133	-132	1	-121	-161	1	-113	0	0	0	0	0	0
