服务器输出文件名	config_progress_step.xml	根名称	root		
客户端输出文件名	config_progress_step.xml	项名称	item		
唯一id	关卡	步骤	任务要求	类型	值
3	3	3	3	3	3
index_id	progress_id	step	task_id	type	val
1101	101	1	0	2	1
1102	101	2	0	2	2
1103	101	3	0	2	3
1104	102	1	0	2	4
1105	102	2	0	2	5
1106	102	3	0	2	5
1107	103	1	0	2	4
1108	103	2	0	2	5
1109	103	3	0	2	6
1110	104	1	0	2	1
1111	104	2	0	2	2
1112	104	3	0	2	3
1113	105	1	0	2	4
1114	105	2	0	2	5
1115	105	3	0	2	6
1116	106	1	0	2	7
1117	106	2	0	2	3
1118	106	3	0	2	4
1119	107	1	0	2	5
1120	107	2	0	2	6
1121	107	3	0	2	7
1122	108	1	0	2	8
1123	108	2	0	2	9
1124	108	3	0	2	9
1125	109	1	0	2	9
1126	109	2	0	2	8
1127	109	3	0	2	2
1128	110	1	0	2	3
1129	110	2	0	2	5
1130	110	3	0	2	8
					
					
					
					
					
					
					
					
					
					
					
					
