服务器输出文件名	config_quest.xml	根名称	ability																																																								
客户端输出文件名	config_quest.xml	项名称	quest																																																								
uint16任务ID	uint32任务类型	uint32标记值	uint32时间	uint16下一个任务条件	uint8接需求项数量	uint8接需求1类型	uint8接需求1比较方式	int32接需求1参（数字）	uint8接需求2类型	uint8接需求2比较方式	int32接需求2参数	uint8接需求3类型	uint8接需求3比较方式	int32接需求3参数	uint8接需求4类型	uint8接需求4比较方式	int32接需求4参数	uint8完成项数量	uint8完成1类型	uint8完成1比较	int32完成1参数	uint8完成2类型	uint8完成2比较	int32完成2参数	uint8完成3类型	uint8完成3比较	int32完成3参数	uint8完成4类型	uint8完成4比较	int32完成4参数	uint8普通奖励项数量	uint16普通奖励1类型	int32普通奖励1值	uint16普通奖励2类型	int32普通奖励2值	uint16普通奖励3类型	int32普通奖励3值	uint16普通奖励4类型	int32普通奖励4值	uint8物品奖励项数量	uint32物品奖励1类型	uint16物品奖励1值	uint32物品奖励2类型	uint16物品奖励2值	uint32物品奖励3类型	uint16物品奖励3值	uint32物品奖励4类型	uint16物品奖励4值	任务标题	任务描述	任务目标	接受任务npc	进行任务npc	完成任务npc	任务打开的界面类型	具体界面ID及参数	接受或者完成任务	接受删除npc	完成出现npc
3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1
type_idx	quest_sort	quest_flags	time	next_quest_idx	count_accept_required	accept_required_req_idx_0	accept_required_cmpmode_0	accept_required_value_0	accept_required_req_idx_1	accept_required_cmpmode_1	accept_required_value_1	accept_required_req_idx_2	accept_required_cmpmode_2	accept_required_value_2	accept_required_req_idx_3	accept_required_cmpmode_3	accept_required_value_3	count_complete_required	complete_required_req_idx_0	complete_required_cmpmode_0	complete_required_value_0	complete_required_req_idx_1	complete_required_cmpmode_1	complete_required_value_1	complete_required_req_idx_2	complete_required_cmpmode_2	complete_required_value_2	complete_required_req_idx_3	complete_required_cmpmode_3	complete_required_value_3	count_reward	reward_char_mod_type_0	reward_char_mod_value_0	reward_char_mod_type_1	reward_char_mod_value_1	reward_char_mod_type_2	reward_char_mod_value_2	reward_char_mod_type_3	reward_char_mod_value_3	count_reward_item	reward_item_item_type_idx_0	reward_item_item_count_0	reward_item_item_type_idx_1	reward_item_item_count_1	reward_item_item_type_idx_2	reward_item_item_count_2	reward_item_item_type_idx_3	reward_item_item_count_3	taskTitle	taskDes	taskTarget	recv_spawn_id	act_spawn_id	finish_spawn_id	action_ui	action_ui_value	t_quest_id	conceal_npcid	show_npcid
1001	1	0	0	1002	1	1	1	1	0	0	0	0	0	0	0	0	0	1	24	1	2	0	0	0	0	0	0	0	0	0	2	2	260	12	100	0	0	0	0	2	100110201	1	220010002	1	0	0	0	0	[ffffff]神农帮拦路	[ffffff]神农帮拦路	[ffffff]神农帮拦路	2	0	2	0	0	0	0	0
1002	1	0	0	1003	1	3	1	1001	0	0	0	0	0	0	0	0	0	1	24	1	2	0	0	0	0	0	0	0	0	0	2	2	343	12	100	0	0	0	0	2	100110301	1	220010003	1	0	0	0	0	[ffffff]路遇不平	[ffffff]路遇不平	[ffffff]路遇不平	2	0	2	0	0	2	0	3
1003	1	0	0	1004	1	3	1	1002	0	0	0	0	0	0	0	0	0	1	24	1	3	0	0	0	0	0	0	0	0	0	2	2	432	12	100	0	0	0	0	2	100110401	2	220010004	1	0	0	0	0	[ffffff]拔刀相助	[ffffff]拔刀相助	[ffffff]拔刀相助	3	0	3	0	0	1	2	0
1004	1	0	0	1005	1	3	1	1003	0	0	0	0	0	0	0	0	0	1	24	1	3	0	0	0	0	0	0	0	0	0	2	2	532	12	100	0	0	0	0	2	100110501	1	220020001	1	0	0	0	0	[ffffff]神农帮主	[ffffff]神农帮主	[ffffff]神农帮主	3	0	3	0	0	2	0	4
1005	1	0	0	1006	1	3	1	1004	0	0	0	0	0	0	0	0	0	1	24	1	4	0	0	0	0	0	0	0	0	0	2	2	650	12	100	0	0	0	0	2	100110601	2	220020002	1	0	0	0	0	[ffffff]钟灵	[ffffff]钟灵	[ffffff]钟灵	4	0	4	0	0	1	3	0
1006	1	0	0	1007	1	3	1	1005	0	0	0	0	0	0	0	0	0	1	24	1	4	0	0	0	0	0	0	0	0	0	2	2	832	12	100	0	0	0	0	2	100110701	1	220020003	1	0	0	0	0	[ffffff]断肠散	[ffffff]断肠散	[ffffff]断肠散	4	0	4	0	0	2	0	5
1007	1	0	0	1008	1	3	1	1006	0	0	0	0	0	0	0	0	0	1	24	1	5	0	0	0	0	0	0	0	0	0	2	2	910	12	100	0	0	0	0	2	101110101	2	220020004	1	0	0	0	0	[ffffff]真假解药	[ffffff]真假解药	[ffffff]真假解药	5	0	5	0	0	1	4	0
1008	1	0	0	1009	1	3	1	1007	0	0	0	0	0	0	0	0	0	1	24	1	5	0	0	0	0	0	0	0	0	0	2	2	1045	12	200	0	0	0	0	2	101210101	1	220030001	1	0	0	0	0	[ffffff]通天草	[ffffff]通天草	[ffffff]通天草	5	0	5	0	0	2	0	6
1009	1	0	0	1010	1	3	1	1008	0	0	0	0	0	0	0	0	0	1	24	1	6	0	0	0	0	0	0	0	0	0	2	2	1262	12	200	0	0	0	0	2	101310101	3	220030002	1	0	0	0	0	[ffffff]集合	[ffffff]集合	[ffffff]集合	6	0	6	0	0	1	5	7
1010	1	0	0	1011	1	3	1	1009	0	0	0	0	0	0	0	0	0	1	24	1	7	0	0	0	0	0	0	0	0	0	2	2	2185	12	200	0	0	0	0	2	101410101	2	220030003	1	0	0	0	0	[ffffff]灵鹫宫	[ffffff]灵鹫宫	[ffffff]灵鹫宫	7	0	7	0	0	1	6	0
1011	1	0	0	1012	1	3	1	1010	0	0	0	0	0	0	0	0	0	1	24	1	7	0	0	0	0	0	0	0	0	0	2	2	2578	12	200	0	0	0	0	2	101510101	2	220030004	1	0	0	0	0	[ffffff]木婉清	[ffffff]木婉清	[ffffff]木婉清	7	0	7	0	0	0	0	0
1012	1	0	0	1013	1	3	1	1011	0	0	0	0	0	0	0	0	0	1	24	1	7	0	0	0	0	0	0	0	0	0	2	2	3050	12	200	0	0	0	0	2	101610101	1	220310001	1	0	0	0	0	[ffffff]段誉	[ffffff]段誉	[ffffff]段誉	7	0	7	0	0	2	0	8
1013	1	0	0	1014	1	3	1	1012	0	0	0	0	0	0	0	0	0	1	24	1	8	0	0	0	0	0	0	0	0	0	2	2	3645	12	200	0	0	0	0	2	101710101	1	220310002	1	0	0	0	0	[ffffff]暗号	[ffffff]暗号	[ffffff]暗号	8	0	8	0	0	1	7	9
1014	1	0	0	1015	1	3	1	1013	0	0	0	0	0	0	0	0	0	1	24	1	9	0	0	0	0	0	0	0	0	0	2	2	4326	12	200	0	0	0	0	2	102110101	2	220310003	1	0	0	0	0	[ffffff]旧识	[ffffff]旧识	[ffffff]旧识	9	0	9	0	0	1	8	0
1015	1	0	0	1016	1	3	1	1014	0	0	0	0	0	0	0	0	0	1	24	1	9	0	0	0	0	0	0	0	0	0	2	2	5122	12	200	0	0	0	0	2	102110201	2	220410001	1	0	0	0	0	[ffffff]无量山洞	[ffffff]无量山洞	[ffffff]无量山洞	9	0	9	0	0	2	0	10
1016	1	0	0	1017	1	3	1	1015	0	0	0	0	0	0	0	0	0	1	24	1	10	0	0	0	0	0	0	0	0	0	2	2	6061	12	200	0	0	0	0	2	102110301	1	220410002	1	0	0	0	0	[ffffff]命硬	[ffffff]命硬	[ffffff]命硬	10	0	10	0	0	1	9	13
1017	1	0	0	1018	1	3	1	1016	0	0	0	0	0	0	0	0	0	1	24	1	13	0	0	0	0	0	0	0	0	0	2	2	7139	12	200	0	0	0	0	2	102110401	1	220410003	1	0	0	0	0	[ffffff]怪物	[ffffff]怪物	[ffffff]怪物	13	0	13	0	0	1	10	0
1018	1	0	0	1019	1	3	1	1017	0	0	0	0	0	0	0	0	0	1	24	1	13	0	0	0	0	0	0	0	0	0	2	2	8371	12	250	0	0	0	0	2	102110501	1	220510001	1	0	0	0	0	[ffffff]天下第二	[ffffff]天下第二	[ffffff]天下第二	13	0	13	0	0	2	0	14
1019	1	0	0	0	1	3	1	1018	0	0	0	0	0	0	0	0	0	1	24	1	14	0	0	0	0	0	0	0	0	0	2	2	9769	12	250	0	0	0	0	2	102110601	1	220510002	1	0	0	0	0	[ffffff]闯荡江湖	[ffffff]闯荡江湖	[ffffff]闯荡江湖	14	0	14	0	0	1	13	0
