服务器输出文件名	config_scene.xml	根名称	ability					
客户端输出文件名		项名称	scene					
场景id(int)	场景名称(string30)	地图类型(tinyint)	进入地图等级要求	要求任务	任务状态	副本类型	副本最多允许进入人数	场景资源
3	3	3	3	3	3	3	3	1
scene_idx	scene_name	scene_type	level	task_id	task_status	rule_type	max_allow_player_count	mmd_idx
10001	小镜湖	1	1	0	0	0	0	10001
20001	燕子坞	1	10	0	0	0	0	20001
10003	灵鹫宫	1	40	0	0	0	0	10004
10004	雁门关	1	50	0	0	0	0	10005
10005	蒙古大漠	1	60	0	0	0	0	10006
10006	襄阳城	1	70	0	0	0	0	10007
10022	无量山洞	1	1	0	0	0	0	10022
20000	市场	2	1	0	0	0	0	10000
30000	竞技场(藏宝阁)	3	1	0	0	0	0	10000
40000	温泉区	4	1	0	0	0	0	10000
50000	比武场	5	1	0	0	0	0	10000
61011	桃花岛副本第1层	6	1	0	0	1	4	10000
61012	桃花岛副本第2层	6	1	0	0	1	4	10000
61013	桃花岛副本第1层(组队)	6	1	0	0	1	4	10000
61014	桃花岛副本第2层(组队)	6	1	0	0	1	4	10000
61021	华山副本第1层	6	1	0	0	1	4	10000
61022	华山副本第2层	6	1	0	0	1	4	10000
61023	华山副本第1层(组队)	6	1	0	0	1	4	10000
61024	华山副本第2层(组队)	6	1	0	0	1	4	10000
62001	塔战役1	6	1	0	0	2	1	10000
62002	塔战役2	6	1	0	0	2	1	10000
63001	关卡1	6	1	0	0	3	1	10000
63002	关卡2	6	1	0	0	3	1	10000
63003	关卡3	6	1	0	0	3	1	10000
63004	关卡4	6	1	0	0	3	1	10000
63005	关卡5	6	1	0	0	3	1	10000
63006	关卡6	6	1	0	0	3	1	10000
