服务器输出文件名	config_scene_born.xml	根名称	ability	
客户端输出文件名		项名称	scene_born	
索引id(int)	场景id(int)	出生点坐标x（float）	出生点坐标y（float）	出生点坐标z（float）
2	2	2	2	2
index_idx	scene_idx	born_pos_x	born_pos_y	born_pos_z
1	10001	-101	20	-11
2	20000	284	19	245
3	30000	284	19	245
4	40000	284	19	245
5	50000	284	19	245
6	100011	284	19	245
7	100012	284	19	245
8	100021	284	19	245
9	100022	284	19	245
10	110001	284	19	245
11	110102	284	19	245
12	120001	284	19	245
13	120002	284	19	245
14	120003	284	19	245
15	120004	284	19	245
16	120005	284	19	245
17	120006	284	19	245
18	63001	284	19	245
19	63002	284	19	245
20	61011	284	19	245
21	61012	284	19	245
22	61013	285	20	246
23	61014	286	21	247
24	61021	286	21	247
25	61022	286	21	247
26	61023	286	21	247
27	61024	286	21	247
28	62001	286	21	247
29	62002	286	21	247
30	63001	286	21	247
31	63002	286	21	247
32	63003	286	21	247
33	63004	286	21	247
34	63005	286	21	247
35	63006	286	21	247
