服务器输出文件名		根名称	ability								
客户端输出文件名	scene_npc.xml	项名称	scene_npc								
唯一ID	地图id	元素类型	类型	坐标点x	坐标点y	坐标点z	向量坐标点x	向量坐标点z	向量坐标点y	模型_id	默认对话
3	3	3	1	3	3	3	3	3	1	1	1
ID	scene_id	npc_id	npc_name	npc_x	npc_y	npc_z	xnpc_x	xnpc_z	xnpc_y	prefab_id	npc_talk
1	10001	1001	败师傅	-106	0	-13	0.249540118	0.968364461	7	10030	败师傅
2	10001	1002	阿胜	-140	0	-13	0.753902254	0.656986599	7	10030	阿胜
3	10001	1003	司空玄	-180	0	-14	0.753902254	0.656986599	7	10030	司空玄
4	10001	1004	钟灵	-236	0	-13	0.753902254	0.656986599	7	10030	钟灵
5	10001	1005	司空玄1	-292	0	-37	0.753902254	0.656986599	7	10030	司空玄1
6	10001	1006	钟灵1	-319	0	-63	0.753902254	0.656986599	7	10030	钟灵1
7	10001	1007	木婉清	-322	0	-75	0.753902254	0.656986599	7	10030	木婉清
8	10001	1008	段誉	-327	0	-90	0.753902254	0.656986599	7	10030	段誉
9	10001	1009	段誉1	-334	0	-104	0.753902254	0.656986599	7	10030	段誉1
10	10001	1010	段誉2	-340	0	-121	0.753902254	0.656986599	7	10030	段誉2
11	10022	1011	败师傅1	-52	0	-11	0.753902254	0.656986599	7	10030	败师傅1
12	10022	1012	神仙姐姐	67	0	188	0.753902254	0.656986599	7	10030	神仙姐姐
13	10001	1013	独孤求败	-345	0	-122	0.753902254	0.656986599	7	10030	独孤求败
14	10001	1014	钟灵2	-349	0	-128	0.753902254	0.656986599	7	40001	钟灵2
15	10001	1015	钟灵2	-349	0	-128	0.753902254	0.656986599	7	40001	钟灵2
16	10003	1016	败师傅	-15.9	0	-271.2	0.753902254	0.656986599	7	10030	败师傅
17	10003	1017	神仙姐姐	-20.4	0	-246.7	0.753902254	0.656986599	7	10030	神仙姐姐
18	10003	1018	独孤求败	-30	0	-210.4	0.753902254	0.656986599	7	10030	独孤求败
19	10003	1019	钟灵2	-63.4	0	-152.8	0.753902254	0.656986599	7	10030	钟灵
20	10003	1020	段誉	-93.5	0	-144.5	0.753902254	0.656986599	7	10030	段誉
21	10004	1021	败师傅	-16.2	0	-81.8	0.753902254	0.656986599	7	10030	败师傅
22	10004	1022	神仙姐姐	-69.3	0	-61.8	0.753902254	0.656986599	7	10030	神仙姐姐
23	10004	1023	独孤求败	-78	0	-25.2	0.753902254	0.656986599	7	10030	独孤求败
24	10004	1024	钟灵2	-118.6	0	-7.2	0.753902254	0.656986599	7	10030	钟灵
25	10004	1025	段誉	-170.2	0	-29.7	0.753902254	0.656986599	7	10030	段誉
											
											
											
											
											
