服务器输出文件名	config_scene_relive.xml	根名称	ability	
客户端输出文件名		项名称	scene_relive	
自增id(int)	场景id(int)	复活点坐标x（float）	复活点坐标y（float）	复活点坐标z(float)
2	2	2	2	2
index_idx	scene_idx	relive_pos_x	relive_pos_y	relive_pos_z
1	4000	1	0	12
2	4000	2	0	13
3	4000	3	0	14
4	4000	4	0	15
5	4000	5	0	16
6	4000	6	0	17
7	4000	7	0	18
8	4000	8	0	19
9	4000	9	0	20
10	4000	10	0	21
11	4000	11	0	22
12	4000	12	0	23
13	4000	13	0	24
14	4000	14	0	25
15	4000	15	0	26
16	4000	16	0	27
17	4000	17	0	28
18	4000	18	0	29
19	4000	19	0	30
20	4000	20	0	31
21	4000	21	0	32
22	4000	22	0	33
23	4000	23	0	34
24	4000	24	0	35
25	4000	25	0	36
26	4000	26	0	37
27	4000	27	0	38
28	4000	28	0	39
29	4000	29	0	40
30	4000	30	0	41
31	4000	31	0	42
32	4000	32	0	43
33	5000	29	0	44
34	5000	30	0	45
35	5000	31	0	46
36	5000	32	0	43
