服务器输出文件名	config_scene_server_load.xml	根名称	ability
客户端输出文件名		项名称	scene_server_load
场景id(int)	负载服务器（int）	负载权重(int)	
2	2	2	
scene_idx	zone_id	load_balancing_priority_level	
10001	1	0	
10001	2	1	
10001	3	2	
10001	4	3	
20001	1	0	
20001	2	1	
20001	3	2	
20001	4	3	
10002	1	0	
10002	2	1	
10002	3	2	
10002	4	3	
20002	1	0	
20002	2	1	
20002	3	2	
20002	4	3	
10003	1	0	
10003	2	1	
10003	3	2	
10003	4	3	
20003	1	0	
20003	2	1	
20003	3	2	
20003	4	3	
10004	1	0	
10004	2	1	
10004	3	2	
10004	4	3	
20004	1	0	
20004	2	1	
20004	3	2	
20004	4	3	
10005	1	0	
10005	2	1	
10005	3	2	
10005	4	3	
20005	1	0	
20005	2	1	
20005	3	2	
20005	4	3	
10006	1	0	
10006	2	1	
10006	3	2	
10006	4	3	
20006	1	0	
20006	2	1	
20006	3	2	
20006	4	3	
10007	1	0	
10007	2	1	
10007	3	2	
10007	4	3	
20007	1	0	
20007	2	1	
20007	3	2	
20007	4	3	
61011	1	0	
61012	1	0	
61013	1	0	
61014	1	0	
61021	1	0	
61022	1	0	
61023	1	0	
61024	1	0	
62001	1	0	
62002	1	0	
63001	1	0	
63002	1	0	
63003	1	0	
63004	1	0	
63005	1	0	
63006	1	0	
