服务器输出文件名	config_scene_tower.xml	根名称	ability						
客户端输出文件名		项名称	scene_tower						
索引id(int)	场景id(int)	坐标x（float）	坐标y（float）	坐标z（float）	半径	相邻塔1	相邻塔2	相邻塔3	相邻塔4
2	2	2	2	2	2	2	2	2	2
index_idx	scene_idx	pos_x	pos_y	pos_z	radius	near_tower_1	near_tower_2	near_tower_3	near_tower_4
1	10000	350	34	198	40	2	0	0	0
2	10000	333	31	237	11	3	1	0	0
3	10000	324	28	241	11	4	2	0	0
4	10000	314	26	243	11	5	3	0	0
5	10000	304	23	244	11	6	4	0	0
6	10000	294	20	244	11	7	5	0	0
7	10000	283	20	244	11	8	6	0	0
8	10000	273	20	244	11	9	7	0	0
9	10000	261	20	244	11	10	8	0	0
10	10000	251	20	244	11	11	9	0	0
11	10000	240	20	243	11	12	10	0	0
12	10000	229	20	243	11	13	11	0	0
13	10000	217	20	243	11	14	12	0	0
14	10000	207	20	243	11	15	13	0	0
15	10000	196	20	243	11	16	14	0	0
16	10000	186	20	242	11	17	15	0	0
17	10000	175	18	241	11	18	16	0	0
18	10000	165	18	242	11	19	17	0	0
19	10000	154	19	242	11	20	18	0	0
20	10000	144	18	243	11	21	19	0	0
21	10000	133	18	244	11	22	20	0	0
22	10000	123	14	244	11	23	21	0	0
23	10000	113	11	243	11	24	22	0	0
24	10000	104	8	242	11	25	23	0	0
25	10000	94	6	238	11	26	24	0	0
26	10000	85	6	234	11	27	25	0	0
27	10000	77	2	227	11	28	26	0	0
28	10000	72	1	218	11	29	27	0	0
29	10000	69	1	208	11	30	28	0	0
30	10000	65	1	198	11	31	29	0	0
31	10000	62	1	188	11	32	30	0	0
32	10000	58	1	178	11	33	31	0	0
33	10000	54	1	168	11	34	32	0	0
34	10000	51	1	158	11	35	33	0	0
35	10000	46	1	148	11	36	34	0	0
36	10000	41	1	139	11	37	35	0	0
37	10000	37	1	129	11	38	36	0	0
38	10000	33	1	119	11	0	37	0	0
39	10001	-35	44	-50	40	40	0	0	0
40	10001	-54	30	-16	11	41	39	0	0
41	10001	-66	27	-13	11	42	40	0	0
42	10001	-78	23	-11	11	43	41	0	0
43	10001	-90	21	-11	11	44	42	0	0
44	10001	-101	20	-11	11	45	43	0	0
45	10001	-112	20	-11	11	46	44	0	0
46	10001	-123	20	-11	11	47	45	0	0
47	10001	-134	20	-11	11	48	46	0	0
48	10001	-145	20	-11	11	49	47	0	0
49	10001	-155	20	-11	11	50	48	0	0
50	10001	-167	20	-11	11	51	49	0	0
51	10001	-177	20	-11	11	52	50	0	0
52	10001	-188	20	-11	11	53	51	0	0
53	10001	-199	20	-11	11	54	52	0	0
54	10001	-210	20	-11	11	55	53	0	0
55	10001	-220	20	-12	11	56	54	0	0
56	10001	-232	20	-12	11	57	55	0	0
57	10001	-242	20	-11	11	58	56	0	0
58	10001	-253	17	-11	11	59	57	0	0
59	10001	-262	15	-10	11	60	58	0	0
60	10001	-273	11	-11	11	61	59	0	0
61	10001	-282	8	-14	11	62	60	0	0
62	10001	-293	8	-17	11	63	61	0	0
63	10001	-300	6	-23	11	64	62	0	0
64	10001	-307	3	-32	11	65	63	0	0
65	10001	-311	1	-40	11	66	64	0	0
66	10001	-315	1	-51	11	67	65	0	0
67	10001	-317	1	-61	11	68	66	0	0
68	10001	-321	1	-71	11	69	67	0	0
69	10001	-325	1	-80	11	70	68	0	0
70	10001	-330	1	-90	11	71	69	0	0
71	10001	-333	1	-100	11	72	70	0	0
72	10001	-338	1	-109	11	73	71	0	0
73	10001	-343	1	-119	11	74	72	0	0
74	10001	-347	1	-129	11	75	73	0	0
