服务器输出文件名	config_shop_item.xml	根名称	ability											
客户端输出文件名	config_shop_item.xml	项名称	shop_item											
商店类型	物品id，购买金币数	道具类型	物品id，购买金币数	要求等级	出售货币类型	单价	可出售数量	消耗角色值类型	消耗角色值	xx元宝	xx元	描述		
3	3	3	3	3	3	3	2	2	2	1	1	1		
shop_idx	index_in_shop	buy_type	item_type_idx	need_level	pay_type	price	base_sell_count	require_char_mod_type	require_char_mod_value	des1_name	des2	des3		
3001	0	0	90000	1	12	1	4294967295	255	0	[f4e4c6][f0b427]90000[-]金币	[f4e4c6][f0b427]1[-]元宝	购买后，可获得相应金币数量		
3001	1	1	360000	1	11	36	4294967295	255	0	[f4e4c6][f0b427]360000[-]金币	[f4e4c6][f0b427]36[-]元宝	购买后，可获得相应金币数量		
3001	2	1	1800000	1	11	180	4294967295	255	0	[f4e4c6][f0b427]1800000[-]金币	[f4e4c6][f0b427]180[-]元宝	购买后，可获得相应金币数量		
3001	3	1	5400000	2	11	540	4294967295	255	0	[f4e4c6][f0b427]5400000[-]金币	[f4e4c6][f0b427]540[-]元宝	购买后，可获得相应金币数量		
3001	4	1	18000000	3	11	1800	4294967295	255	0	[f4e4c6][f0b427]18000000[-]金币	[f4e4c6][f0b427]1800[-]元宝	购买后，可获得相应金币数量		
3001	5	1	36000000	3	11	3600	4294967295	255	0	[f4e4c6][f0b427]36000000[-]金币	[f4e4c6][f0b427]3600[-]元宝	购买后，可获得相应金币数量		
3002	0	2	100110101	1	11	100	4294967295	255	0	[41de5b]铁剑	[f4e4c6][f0b427]10[-]元宝	没什么特别的一把铁剑		
3002	1	2	100110201	1	11	100	4294967295	255	0	[41de5b]软剑	[f4e4c6][f0b427]20[-]元宝	材料好像很特殊，可以弯曲		
3002	2	2	100110301	1	11	100	4294967295	255	0	[41de5b]淑女剑	[f4e4c6][f0b427]40[-]元宝	就像淑女的身材一样细		
3002	3	2	101110101	1	11	100	4294967295	255	0	[41de5b]丝绸衣	[f4e4c6][f0b427]10[-]元宝	普通绸缎缝制的衣物		
