服务器输出文件名	config_skill.xml	根名称	ability																			
客户端输出文件名	config_skill.xml	项名称	skill																			
uint8技能ID	技能名	uint8技能类型	uint16技能cd		uint8效果有效数量	uint8效果类型0	uint8效果对象	加成类型	效果类型1	效果阵营	加成类型	效果类型2	效果阵营	加成类型	效果类型3	效果阵营	加成类型	uint16学习需要等级	uint32技能书id	uint8技能书数量	技能图标	被动技能施放方式
3	1	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1
skill_idx	name	attack_type	cd	des	effect_count	effect_type_0	effect_obj_0	effect_vt_0	effect_type_1	effect_obj_1	effect_vt_1	effect_type_2	effect_obj_2	effect_vt_2	effect_type_3	effect_obj_3	effect_vt_3	learn_level	learn_book_idx	learn_book_num	icon_name	condition_des
1	[e8933b]正龙棍[-]	1	3	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{1}[-][-]	2	1	2	1	17	2	1	0	0	1	0	0	1	1	222000012	1	3	
2	[e8933b]卧龙破[-]	1	4	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{1}[-][-]	2	1	2	1	18	2	1	0	0	1	0	0	1	5	222000013	1	1	
3	[e8933b]罗汉拳[-]	1	5	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{1}[-][-]	2	1	2	1	13	2	1	0	0	1	0	0	1	10	222000014	1	1	
4	[e8933b]BUFF动作-灵佛[-]	2	0	[5b3504]]增加自身暴击率[-]	1	7	1	1	0	0	0	0	0	0	0	0	0	0	222000015	1	1	
5	[e8933b]幻佛聚灵[-]	1	6	[5b3504]跃起对凌空目标进行光环攻击[2c9450]{0}[-][-]	1	1	2	1	0	0	1	0	0	1	0	0	1	20	222000016	1	3	
6	[e8933b]千斤坠[-]	1	6	[5b3504]跃身向下重击照成伤害[2c9450]{0}[-]给敌方击倒[2c9450]{1}[-][-]	2	1	2	1	20	2	1	0	0	1	0	0	1	25	222000017	1	2	
7	[e8933b]谁敢挡我[-]	1	6	[5b3504]冲出一段距离并照成伤害[2c9450]{0}[-][-]	1	1	2	1	0	0	1	0	0	1	0	0	1	30	222000018	1	1	
8	[e8933b]伏虎[-]	1	6	[5b3504]以精妙棍法对敌人发动连击照成伤害[2c9450]{0}[-]击飞敌方[2c9450]{1}[-][-]	2	1	2	1	18	3	1	0	0	1	0	0	1	35	222000019	1	2	
9	[e8933b]旋风[-]	3	12	[5b3504]威力无比的旋风棍对范围敌人照成伤害[2c9450]{0}[-][-]	1	1	2	1	0	0	1	0	0	1	0	0	1	40	222000020	1	7	
10	[e8933b]棍扫天下[-]	1	7	[5b3504]旋转武器并挥出打击对手[2c9450]{0}[-][-]	1	1	2	1	0	0	1	0	0	1	0	0	1	45	222000021	1	4	
11	[e8933b]杀戮风暴[-]	1	3	[5b3504]持续用风暴攻击[2c9450]{0}[-]使目标浮空[2c9450]{1}[-][-]	2	1	2	1	17	2	1	0	0	1	0	0	1	1	222000034	1	3	
12	[e8933b]强力鬼[-]	1	4	[5b3504]转身挥出重拳[2c9450]{0}[-]击退敌人[2c9450]{1}[-][-]	2	1	2	1	18	2	1	0	0	1	0	0	1	5	222000035	1	1	
13	[e8933b]眩之拳[-]	1	5	[5b3504]重击敌人照成伤害[2c9450]{0}[-]击晕敌人[2c9450]{1}[-][-]	2	1	2	1	13	2	1	0	0	1	0	0	1	10	222000036	1	1	
14	[e8933b]BUFF动作-魔王[-]	2	0	[5b3504]]增加自身暴击率[-]	1	7	1	1	0	0	0	0	0	0	0	0	0	0	222000037	1	1	
15	[e8933b]影之舞[-]	1	6	[5b3504]拉住敌人对其照成伤害[2c9450]{0}[-][-]	1	1	2	1	0	0	1	0	0	1	0	0	1	20	222000038	1	3	
16	[e8933b]影灵连刺[-]	1	6	[5b3504]对范围内多个敌人进行来回冲击[2c9450]{0}[-]击倒敌人[2c9450]{1}[-][-]	2	1	2	1	20	2	1	0	0	1	0	0	1	25	222000039	1	2	
17	[e8933b]冲撞技能[-]	1	6	[5b3504]向前重装照成伤害[2c9450]{0}[-][-]	1	1	2	1	0	0	1	0	0	1	0	0	1	30	222000040	1	1	
18	[e8933b]少鬼拳[-]	1	6	[5b3504]对目标打出九路鬼拳照成伤害[2c9450]{0}[-]击退敌方[2c9450]{1}[-][-]	2	1	2	1	18	2	1	0	0	1	0	0	1	35	222000041	1	2	
19	[e8933b]暗升龙鬼拳[-]	3	12	[5b3504]打出黑气对范围敌人伤害[2c9450]{0}[-][-]	1	1	2	1	0	0	1	0	0	1	0	0	1	40	222000042	1	7	
20	[e8933b]魅灵鬼[-]	1	7	[5b3504]对敌方进行连续攻击[2c9450]{0}[-]使对方浮空[2c9450]{1}[-][-]	2	1	2	1	3	1	1	0	0	1	0	0	1	45	222000043	1	4	
21	[e8933b]飞剑乱舞[-]	1	3	[5b3504]招式攻击敌人照成伤害[2c9450][2c9450]{0}[-][-]范围敌人挑飞空中[2c9450]{1}[-][-]	2	1	2	1	17	2	1	0	0	1	0	0	1	1	222000001	1	3	
22	[e8933b]灵之剑[-]	1	4	[5b3504]用剑气刺向前方照成伤害[2c9450]{0}[-]将目标击退[2c9450]{1}[-][-]	2	1	2	1	18	2	1	0	0	1	0	0	1	5	222000002	1	1	
23	[e8933b]飓风剑[-]	1	5	[5b3504]剑气攻击前方照成伤害[2c9450]{0}[-]使敌方眩晕[2c9450]{1}[-][-]	2	1	2	1	13	2	1	0	0	1	0	0	1	10	222000003	1	1	
24	[e8933b]BUFF动作-灵女[-]	2	0	[5b3504]]增加自身暴击率[-]	1	7	1	1	0	0	0	0	0	0	0	0	0	0	222000004	1	1	
25	[e8933b]玉女御剑[-]	1	6	[5b3504]空中对敌人进行打击照成伤害[2c9450]{0}[-][-]	1	1	2	1	0	0	1	0	0	1	0	0	1	20	222000005	1	3	
26	[e8933b]玉女散花[-]	1	6	[5b3504]对敌人进行伤害[2c9450]{0}[-]并击倒在地[2c9450]{1}[-][-]	2	1	2	1	20	2	1	0	0	1	0	0	1	25	222000006	1	2	
27	[e8933b]脉冲剑[-]	1	6	[5b3504]前冲攻击敌人照成伤害[2c9450]{0}[-][-]	1	1	2	1	0	0	1	0	0	1	0	0	1	30	222000007	1	1	
28	[e8933b]伤之舞[-]	1	6	[5b3504]对敌人连续攻击照成伤害[2c9450]{0}[-]击退敌方[2c9450]{1}[-][-]	2	1	2	1	18	3	1	0	0	1	0	0	1	35	222000008	1	2	
