服务器输出文件名	config_skill_job.xml	根名称	ability
客户端输出文件名	config_skill_job.xml	项名称	skill_job
uint32唯一id	uint8职业id	uint8技能id	uint8排序
3	3	3	3
skill_job_idx	job	skill_idx	order
11000	1	1	0
11001	1	2	1
11002	1	3	2
11003	1	4	3
11004	1	5	4
11005	1	6	5
11006	1	7	6
11007	1	8	7
11008	1	9	8
11009	1	10	9
21000	2	11	0
21001	2	12	1
21002	2	13	2
21003	2	14	3
21004	2	15	4
21005	2	16	5
21006	2	17	6
21007	2	18	7
21008	2	19	8
21009	2	20	9
41000	4	21	0
41001	4	22	1
41002	4	23	2
41003	4	24	3
41004	4	25	4
41005	4	26	5
41006	4	27	6
41007	4	28	7
41008	4	29	8
41009	4	30	9
81000	8	31	0
81001	8	32	1
81002	8	33	2
81003	8	34	3
81004	8	35	4
81005	8	36	5
81006	8	37	6
81007	8	38	7
81008	8	39	8
81009	8	40	9
41010	4	41	10
41011	4	42	11
41012	4	43	12
41013	4	44	13
41014	4	45	14
11010	1	46	10
11011	1	47	11
11012	1	48	12
11013	1	49	13
11014	1	50	14
81010	8	51	10
81011	8	52	11
81012	8	53	12
81013	8	54	13
81014	8	55	14
21010	2	56	10
21011	2	56	11
21012	2	56	12
21013	2	56	13
21014	2	56	14
