服务器输出文件名	config_skill_level.xml	根名称	ability															
客户端输出文件名	config_skill_level.xml	项名称	skill_level															
uint16序列ID	uint8技能ID	uint8技能等级	uint16升级所需要角色等级	uint32升级所需金币	uint16升级所需技能点	uint32触发所需要的怒气	技能触发概率	效果0加成	持续时间	技能触发概率	效果1加成（千分之几）	持续时间	技能触发概率	效果2加成（千分之几）	持续时间	技能触发概率	效果3加成（千分之几）	持续时间
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
skill_idx_level	skill_idx	level	up_need_level	up_need_gold	up_need_point	trigger_anger	effect_rate_0	effect_value_0	effect_time_0	effect_rate_1	effect_value_1	effect_time_1	effect_rate_2	effect_value_2	effect_time_2	effect_rate_3	effect_value_3	effect_time_3
101	1	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
102	1	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
103	1	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
104	1	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
105	1	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
106	1	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
107	1	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
108	1	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
109	1	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
110	1	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
111	1	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
112	1	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
113	1	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
114	1	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
115	1	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
116	1	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
117	1	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
