服务器输出文件名	config_skill_effect.xml	根名称	ability																				
客户端输出文件名	config_skill_effect.xml	项名称	root																				
技能ID	下一级技能	前置技能	冷却时间 单位（秒）	buff1	作用对象类型	作用范围	距离（单位：米）	角度	buff2	作用对象	作用范围	W（单位：米）	L（单位：米）	所需消耗怒气	学习消耗	技能书数量	升级消耗类型	升级消耗	角色等级	技能名称	技能描述		
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1		
skill_id	next_skillvl_id	front_skill	skill_cd	buff_id1	aim_2	function_area_1	area_w	area_L	buff_id2	aim_3	function_area_1	area_w	area_L	anger	learn_expend	skill_num	upgrade_tpye	upgrade_expend	role_lvl	skill_name	skill_des		
1001	1002	0	3	1	1	0	0	0	0	0	0	0	0	10	222000001	5	12	10	1	[e8933b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{1}[-][-]		
1002	1003	0	3	2	1	0	0	0	0	0	0	0	0	10	222000002	5	12	10	1	[e8934b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{2}[-][-]		
1003	1004	0	3	3	1	0	0	0	0	0	0	0	0	10	222000003	5	12	10	1	[e8935b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{3}[-][-]		
1004	1005	0	3	4	1	0	0	0	0	0	0	0	0	10	222000004	5	12	10	1	[e8936b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{4}[-][-]		
1005	1006	0	3	5	1	0	0	0	0	0	0	0	0	10	222000005	5	12	10	1	[e8937b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{5}[-][-]		
1006	1007	0	3	6	1	0	0	0	0	0	0	0	0	10	222000006	5	12	10	2	[e8938b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{6}[-][-]		
1007	1008	0	3	7	1	0	0	0	0	0	0	0	0	10	222000007	5	12	10	2	[e8939b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{7}[-][-]		
1008	1009	0	3	8	1	0	0	0	0	0	0	0	0	10	222000008	5	12	10	2	[e8940b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{8}[-][-]		
1009	1010	0	3	9	1	0	0	0	0	0	0	0	0	10	222000009	5	12	10	2	[e8941b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{9}[-][-]		
1010	1011	0	3	10	1	0	0	0	0	0	0	0	0	10	222000010	5	12	10	2	[e8942b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{10}[-][-]		
1011	1012	0	3	11	1	0	0	0	0	0	0	0	0	10	222000011	5	12	10	3	[e8943b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{11}[-][-]		
1012	1013	0	3	12	1	0	0	0	0	0	0	0	0	10	222000012	5	12	10	3	[e8944b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{12}[-][-]		
1013	1014	0	3	13	1	0	0	0	0	0	0	0	0	10	222000013	5	12	10	3	[e8945b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{13}[-][-]		
1014	1015	0	3	14	1	0	0	0	0	0	0	0	0	10	222000014	5	12	10	3	[e8946b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{14}[-][-]		
