服务器输出文件名	config_stone_fusion.xml	根名称	ability	
客户端输出文件名	config_stone_fusion.xml	项名称	stone_success	
唯一ID（int32）	宝石ID	合成数量	成功率%	需要金币
3	3	3	3	3
type_idx	item_idx	count	success	need_gold
2200100011	220010001	1	20	10
2200100012	220010001	2	40	10
2200100013	220010001	3	60	10
2200100014	220010001	4	80	10
2200100015	220010001	5	100	10
2200100021	220010002	1	20	10
2200100022	220010002	2	40	10
2200100023	220010002	3	60	10
2200100024	220010002	4	80	10
2200100025	220010002	5	100	10
2200100031	220010003	1	20	10
2200100032	220010003	2	40	10
2200100033	220010003	3	60	10
2200100034	220010003	4	80	10
2200100035	220010003	5	100	10
2200200011	220020001	1	20	10
2200200012	220020001	2	40	10
2200200013	220020001	3	60	10
2200200014	220020001	4	80	10
2200200015	220020001	5	100	10
2200200021	220020002	1	20	10
2200200022	220020002	2	40	10
2200200023	220020002	3	60	10
2200200024	220020002	4	80	10
2200200025	220020002	5	100	10
2200200031	220020003	1	20	10
2200200032	220020003	2	40	10
2200200033	220020003	3	60	10
2200200034	220020003	4	80	10
2200200035	220020003	5	100	10
2200300011	220030001	1	20	10
2200300012	220030001	2	40	10
2200300013	220030001	3	60	10
2200300014	220030001	4	80	10
2200300015	220030001	5	100	10
2200300021	220030002	1	20	10
2200300022	220030002	2	40	10
2200300023	220030002	3	60	10
2200300024	220030002	4	80	10
2200300025	220030002	5	100	10
2200300031	220030003	1	20	10
2200300032	220030003	2	40	10
2200300033	220030003	3	60	10
2200300034	220030003	4	80	10
2200300035	220030003	5	100	10
3310000011	331000001	1	20	10
3310000012	331000001	2	40	10
3310000013	331000001	3	60	10
3310000014	331000001	4	80	10
3310000015	331000001	5	100	10
3310000021	331000002	1	20	10
3310000022	331000002	2	40	10
3310000023	331000002	3	60	10
3310000024	331000002	4	80	10
3310000025	331000002	5	100	10
3310000031	331000003	1	20	10
3310000032	331000003	2	40	10
3310000033	331000003	3	60	10
3310000034	331000003	4	80	10
3310000035	331000003	5	100	10
3310100011	331010001	1	20	10
3310100012	331010001	2	40	10
3310100013	331010001	3	60	10
3310100014	331010001	4	80	10
3310100015	331010001	5	100	10
3310100021	331010002	1	20	10
3310100022	331010002	2	40	10
3310100023	331010002	3	60	10
3310100024	331010002	4	80	10
3310100025	331010002	5	100	10
3310100031	331010003	1	20	10
3310100032	331010003	2	40	10
3310100033	331010003	3	60	10
3310100034	331010003	4	80	10
3310100035	331010003	5	100	10
3310200011	331020001	1	20	10
3310200012	331020001	2	40	10
3310200013	331020001	3	60	10
3310200014	331020001	4	80	10
3310200015	331020001	5	100	10
3310200021	331020002	1	20	10
3310200022	331020002	2	40	10
3310200023	331020002	3	60	10
3310200024	331020002	4	80	10
3310200025	331020002	5	100	10
3310200031	331020003	1	20	10
3310200032	331020003	2	40	10
3310200033	331020003	3	60	10
3310200034	331020003	4	80	10
3310200035	331020003	5	100	10
3310300011	331030001	1	20	10
3310300012	331030001	2	40	10
3310300013	331030001	3	60	10
3310300014	331030001	4	80	10
3310300015	331030001	5	100	10
3310300021	331030002	1	20	10
3310300022	331030002	2	40	10
3310300023	331030002	3	60	10
3310300024	331030002	4	80	10
3310300025	331030002	5	100	10
3310300031	331030003	1	20	10
3310300032	331030003	2	40	10
3310300033	331030003	3	60	10
3310300034	331030003	4	80	10
3310300035	331030003	5	100	10
3310400011	331040001	1	20	10
3310400012	331040001	2	40	10
3310400013	331040001	3	60	10
3310400014	331040001	4	80	10
3310400015	331040001	5	100	10
3310400021	331040002	1	20	10
3310400022	331040002	2	40	10
3310400023	331040002	3	60	10
3310400024	331040002	4	80	10
3310400025	331040002	5	100	10
3310400031	331040003	1	20	10
3310400032	331040003	2	40	10
3310400033	331040003	3	60	10
3310400034	331040003	4	80	10
3310400035	331040003	5	100	10
3310500011	331050001	1	20	10
3310500012	331050001	2	40	10
3310500013	331050001	3	60	10
3310500014	331050001	4	80	10
3310500015	331050001	5	100	10
3310500021	331050002	1	20	10
3310500022	331050002	2	40	10
3310500023	331050002	3	60	10
3310500024	331050002	4	80	10
3310500025	331050002	5	100	10
3310500031	331050003	1	20	10
3310500032	331050003	2	40	10
3310500033	331050003	3	60	10
3310500034	331050003	4	80	10
3310500035	331050003	5	100	10
3310600011	331060001	1	20	10
3310600012	331060001	2	40	10
3310600013	331060001	3	60	10
3310600014	331060001	4	80	10
3310600015	331060001	5	100	10
3310600021	331060002	1	20	10
3310600022	331060002	2	40	10
3310600023	331060002	3	60	10
3310600024	331060002	4	80	10
3310600025	331060002	5	100	10
3310600031	331060003	1	20	10
3310600032	331060003	2	40	10
3310600033	331060003	3	60	10
3310600034	331060003	4	80	10
3310600035	331060003	5	100	10
3310700011	331070001	1	20	10
3310700012	331070001	2	40	10
3310700013	331070001	3	60	10
3310700014	331070001	4	80	10
3310700015	331070001	5	100	10
3310700021	331070002	1	20	10
3310700022	331070002	2	40	10
3310700023	331070002	3	60	10
3310700024	331070002	4	80	10
3310700025	331070002	5	100	10
3310700031	331070003	1	20	10
3310700032	331070003	2	40	10
3310700033	331070003	3	60	10
3310700034	331070003	4	80	10
3310700035	331070003	5	100	10
3310800011	331080001	1	20	10
3310800012	331080001	2	40	10
3310800013	331080001	3	60	10
3310800014	331080001	4	80	10
3310800015	331080001	5	100	10
3310800021	331080002	1	20	10
3310800022	331080002	2	40	10
3310800023	331080002	3	60	10
3310800024	331080002	4	80	10
3310800025	331080002	5	100	10
3310800031	331080003	1	20	10
3310800032	331080003	2	40	10
3310800033	331080003	3	60	10
3310800034	331080003	4	80	10
3310800035	331080003	5	100	10
3310900011	331090001	1	20	10
3310900012	331090001	2	40	10
3310900013	331090001	3	60	10
3310900014	331090001	4	80	10
3310900015	331090001	5	100	10
3310900021	331090002	1	20	10
3310900022	331090002	2	40	10
3310900023	331090002	3	60	10
3310900024	331090002	4	80	10
3310900025	331090002	5	100	10
3310900031	331090003	1	20	10
3310900032	331090003	2	40	10
3310900033	331090003	3	60	10
3310900034	331090003	4	80	10
3310900035	331090003	5	100	10
3311000011	331100001	1	20	10
3311000012	331100001	2	40	10
3311000013	331100001	3	60	10
3311000014	331100001	4	80	10
3311000015	331100001	5	100	10
3311000021	331100002	1	20	10
3311000022	331100002	2	40	10
3311000023	331100002	3	60	10
3311000024	331100002	4	80	10
3311000025	331100002	5	100	10
3311000031	331100003	1	20	10
3311000032	331100003	2	40	10
3311000033	331100003	3	60	10
3311000034	331100003	4	80	10
3311000035	331100003	5	100	10
3311100011	331110001	1	20	10
3311100012	331110001	2	40	10
3311100013	331110001	3	60	10
3311100014	331110001	4	80	10
3311100015	331110001	5	100	10
3311100021	331110002	1	20	10
3311100022	331110002	2	40	10
3311100023	331110002	3	60	10
3311100024	331110002	4	80	10
3311100025	331110002	5	100	10
3311100031	331110003	1	20	10
3311100032	331110003	2	40	10
3311100033	331110003	3	60	10
3311100034	331110003	4	80	10
3311100035	331110003	5	100	10
3311200011	331120001	1	20	10
3311200012	331120001	2	40	10
3311200013	331120001	3	60	10
3311200014	331120001	4	80	10
3311200015	331120001	5	100	10
3311200021	331120002	1	20	10
3311200022	331120002	2	40	10
3311200023	331120002	3	60	10
3311200024	331120002	4	80	10
3311200025	331120002	5	100	10
3311200031	331120003	1	20	10
3311200032	331120003	2	40	10
3311200033	331120003	3	60	10
3311200034	331120003	4	80	10
3311200035	331120003	5	100	10
				
				
