服务器输出文件名	config_treause_stage.xml	根名称	ability														
客户端输出文件名	config_treause_stage.xml	项名称	treause_stage														
升阶唯一ID	宝物ID	阶	孔序	激活当前孔需要的真气	int16当前加成类型	float当前加的值											
3	3	3	3	3	3	3											
type_stage_idx	treause_idx	stage	hole_idx	infuriating	add_type	add_value											
10010101	1001	1	1	100	20	20											
10010102	1001	1	2	200	21	30											
10010103	1001	1	3	300	22	20											
10010104	1001	1	4	400	102	80											
10010105	1001	1	5	500	103	30											
10010106	1001	1	6	600	105	50											
10010107	1001	1	7	700	106	20											
10010108	1001	1	8	800	107	60											
10010109	1001	1	9	900	108	10											
10010110	1001	1	10	1000	109	50											
10010201	1001	2	1	1100	110	20											
10010202	1001	2	2	1200	111	60											
10010203	1001	2	3	1300	112	45											
10010204	1001	2	4	1400	113	35											
10010205	1001	2	5	1500	114	20											
10010206	1001	2	6	1600	115	25											
10010207	1001	2	7	1700	116	30											
10010208	1001	2	8	1800	117	50											
10010209	1001	2	9	1900	118	55											
10010210	1001	2	10	2000	119	70											
10010301	1001	3	1	2100	120	75											
10010302	1001	3	2	2200	121	85											
10010303	1001	3	3	2300	122	55											
10010304	1001	3	4	2400	20	20											
10010305	1001	3	5	2500	21	30											
10010306	1001	3	6	2600	22	20											
10010307	1001	3	7	2700	102	80											
10010308	1001	3	8	2800	103	30											
10010309	1001	3	9	2900	105	50											
10010310	1001	3	10	3000	106	20											
10010401	1001	4	1	3100	107	60											
10010402	1001	4	2	3200	108	10											
10010403	1001	4	3	3300	109	50											
10010404	1001	4	4	3400	110	20											
10010405	1001	4	5	3500	111	60											
10010406	1001	4	6	3600	112	45											
10010407	1001	4	7	3700	113	35											
10010408	1001	4	8	3800	114	20											
10010409	1001	4	9	3900	115	25											
10010410	1001	4	10	4000	116	30											
10010501	1001	5	1	4100	117	50											
10010502	1001	5	2	4200	118	55											
10010503	1001	5	3	4300	119	70											
10010504	1001	5	4	4400	120	75											
10010505	1001	5	5	4500	121	85											
10010506	1001	5	6	4600	122	55											
10010507	1001	5	7	4700	20	20											
10010508	1001	5	8	4800	21	30											
10010509	1001	5	9	4900	22	20											
10010510	1001	5	10	5000	102	80											
10010601	1001	6	1	5100	103	30											
10010602	1001	6	2	5200	105	50											
10010603	1001	6	3	5300	106	20											
10010604	1001	6	4	5400	107	60											
10010605	1001	6	5	5500	108	10											
10010606	1001	6	6	5600	109	50											
